geoid,cntyfp,tractfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
1400000US13001950100,13001,13001950100,"Census Tract 9501, Appling County, Georgia",2012,3040,24,0,0.026
1400000US13001950100,13001,13001950100,"Census Tract 9501, Appling County, Georgia",2014,3403,27,0,0.021
1400000US13001950100,13001,13001950100,"Census Tract 9501, Appling County, Georgia",2016,3144,25,2,0.035
1400000US13001950100,13001,13001950100,"Census Tract 9501, Appling County, Georgia",2018,3011,24,2,0.033
1400000US13001950100,13001,13001950100,"Census Tract 9501, Appling County, Georgia",2020,3269,26,2,0.05
1400000US13001950200,13001,13001950200,"Census Tract 9502, Appling County, Georgia",2012,4486,74,0,0.45
1400000US13001950200,13001,13001950200,"Census Tract 9502, Appling County, Georgia",2014,4676,77,0,0.439
1400000US13001950200,13001,13001950200,"Census Tract 9502, Appling County, Georgia",2016,4622,76,3,0.4
1400000US13001950200,13001,13001950200,"Census Tract 9502, Appling County, Georgia",2018,4301,71,3,0.414
1400000US13001950201,13001,13001950201,"Census Tract 9502.01, Appling County, Georgia",2020,2276,56,0,0.28
1400000US13001950202,13001,13001950202,"Census Tract 9502.02, Appling County, Georgia",2020,2504,125,3,0.514
1400000US13001950300,13001,13001950300,"Census Tract 9503, Appling County, Georgia",2012,5227,189,0,0.116
1400000US13001950300,13001,13001950300,"Census Tract 9503, Appling County, Georgia",2014,4614,166,0,0.162
1400000US13001950300,13001,13001950300,"Census Tract 9503, Appling County, Georgia",2016,4983,180,2,0.144
1400000US13001950300,13001,13001950300,"Census Tract 9503, Appling County, Georgia",2018,5609,202,2,0.146
1400000US13001950301,13001,13001950301,"Census Tract 9503.01, Appling County, Georgia",2020,3008,275,2,0.096
1400000US13001950302,13001,13001950302,"Census Tract 9503.02, Appling County, Georgia",2020,1729,103,1,0.139
1400000US13001950400,13001,13001950400,"Census Tract 9504, Appling County, Georgia",2012,1353,9,0,0.251
1400000US13001950400,13001,13001950400,"Census Tract 9504, Appling County, Georgia",2014,1398,9,0,0.247
1400000US13001950400,13001,13001950400,"Census Tract 9504, Appling County, Georgia",2016,1617,11,1,0.281
1400000US13001950400,13001,13001950400,"Census Tract 9504, Appling County, Georgia",2018,1669,11,1,0.251
1400000US13001950400,13001,13001950400,"Census Tract 9504, Appling County, Georgia",2020,1892,13,1,0.191
1400000US13001950500,13001,13001950500,"Census Tract 9505, Appling County, Georgia",2012,4173,29,0,0.124
1400000US13001950500,13001,13001950500,"Census Tract 9505, Appling County, Georgia",2014,4330,30,0,0.053
1400000US13001950500,13001,13001950500,"Census Tract 9505, Appling County, Georgia",2016,4044,28,2,0.056
1400000US13001950500,13001,13001950500,"Census Tract 9505, Appling County, Georgia",2018,3864,27,2,0.064
1400000US13001950500,13001,13001950500,"Census Tract 9505, Appling County, Georgia",2020,3750,26,2,0.177
1400000US13003960100,13003,13003960100,"Census Tract 9601, Atkinson County, Georgia",2012,2254,23,0,0.198
1400000US13003960100,13003,13003960100,"Census Tract 9601, Atkinson County, Georgia",2014,2269,23,0,0.242
1400000US13003960100,13003,13003960100,"Census Tract 9601, Atkinson County, Georgia",2016,2176,22,1,0.206
1400000US13003960100,13003,13003960100,"Census Tract 9601, Atkinson County, Georgia",2018,2075,21,1,0.199
1400000US13003960100,13003,13003960100,"Census Tract 9601, Atkinson County, Georgia",2020,2342,24,1,0.132
1400000US13003960200,13003,13003960200,"Census Tract 9602, Atkinson County, Georgia",2012,4871,32,0,0.175
1400000US13003960200,13003,13003960200,"Census Tract 9602, Atkinson County, Georgia",2014,4698,31,0,0.174
1400000US13003960200,13003,13003960200,"Census Tract 9602, Atkinson County, Georgia",2016,4666,31,2,0.217
1400000US13003960200,13003,13003960200,"Census Tract 9602, Atkinson County, Georgia",2018,4622,30,2,0.228
1400000US13003960200,13003,13003960200,"Census Tract 9602, Atkinson County, Georgia",2020,4506,29,2,0.216
1400000US13003960300,13003,13003960300,"Census Tract 9603, Atkinson County, Georgia",2012,1230,14,0,0.098
1400000US13003960300,13003,13003960300,"Census Tract 9603, Atkinson County, Georgia",2014,1330,15,0,0.03
1400000US13003960300,13003,13003960300,"Census Tract 9603, Atkinson County, Georgia",2016,1426,16,1,0.025
1400000US13003960300,13003,13003960300,"Census Tract 9603, Atkinson County, Georgia",2018,1568,18,1,0.012
1400000US13003960300,13003,13003960300,"Census Tract 9603, Atkinson County, Georgia",2020,1463,16,1,0.012
1400000US13005970100,13005,13005970100,"Census Tract 9701, Bacon County, Georgia",2012,2674,20,0,0.02
1400000US13005970100,13005,13005970100,"Census Tract 9701, Bacon County, Georgia",2014,3260,24,0,0.044
1400000US13005970100,13005,13005970100,"Census Tract 9701, Bacon County, Georgia",2016,2891,20,1,0.049
1400000US13005970100,13005,13005970100,"Census Tract 9701, Bacon County, Georgia",2018,2870,20,1,0.021
1400000US13005970100,13005,13005970100,"Census Tract 9701, Bacon County, Georgia",2020,2869,20,1,0.007
1400000US13005970201,13005,13005970201,"Census Tract 9702.01, Bacon County, Georgia",2012,3968,69,0,0.226
1400000US13005970201,13005,13005970201,"Census Tract 9702.01, Bacon County, Georgia",2014,3773,66,0,0.254
1400000US13005970201,13005,13005970201,"Census Tract 9702.01, Bacon County, Georgia",2016,4227,66,1,0.233
1400000US13005970201,13005,13005970201,"Census Tract 9702.01, Bacon County, Georgia",2018,4269,67,1,0.193
1400000US13005970201,13005,13005970201,"Census Tract 9702.01, Bacon County, Georgia",2020,4206,66,1,0.229
1400000US13005970202,13005,13005970202,"Census Tract 9702.02, Bacon County, Georgia",2012,4482,67,0,0.192
1400000US13005970202,13005,13005970202,"Census Tract 9702.02, Bacon County, Georgia",2014,4163,62,0,0.156
1400000US13005970202,13005,13005970202,"Census Tract 9702.02, Bacon County, Georgia",2016,4133,55,1,0.147
1400000US13005970202,13005,13005970202,"Census Tract 9702.02, Bacon County, Georgia",2018,4089,54,1,0.204
1400000US13005970202,13005,13005970202,"Census Tract 9702.02, Bacon County, Georgia",2020,4065,54,1,0.208
1400000US13007960100,13007,13007960100,"Census Tract 9601, Baker County, Georgia",2012,2455,14,0,0.578
1400000US13007960100,13007,13007960100,"Census Tract 9601, Baker County, Georgia",2014,2261,12,0,0.547
1400000US13007960100,13007,13007960100,"Census Tract 9601, Baker County, Georgia",2016,2172,12,1,0.477
1400000US13007960100,13007,13007960100,"Census Tract 9601, Baker County, Georgia",2018,1991,11,1,0.458
1400000US13007960100,13007,13007960100,"Census Tract 9601, Baker County, Georgia",2020,2017,11,1,0.426
1400000US13007960200,13007,13007960200,"Census Tract 9602, Baker County, Georgia",2012,1028,6,0,0.546
1400000US13007960200,13007,13007960200,"Census Tract 9602, Baker County, Georgia",2014,1081,7,0,0.292
1400000US13007960200,13007,13007960200,"Census Tract 9602, Baker County, Georgia",2016,1078,7,3,0.288
1400000US13007960200,13007,13007960200,"Census Tract 9602, Baker County, Georgia",2018,1198,7,3,0.271
1400000US13007960200,13007,13007960200,"Census Tract 9602, Baker County, Georgia",2020,1073,7,3,0.299
1400000US13009970100,13009,13009970100,"Census Tract 9701, Baldwin County, Georgia",2012,5246,63,0,0.407
