pollid,pollname,x,y,stfp,cntyfp,tractfp
8a32afbb-64ca-4120-97da-f5dd25f47adf,"Census Tract 9608.03, Bartow County, Georgia",-84.813,34.115,13,13015,13015960803
1c768e66-e551-4661-bf26-a778271cb2a3,"Census Tract 9503, Itawamba County, Mississippi",-88.397,34.269,28,28057,28057950300
5503fd4e-050e-4064-ae36-3ba1e8cd25fd,"Census Tract 30, Chatham County, Georgia",-81.089,32.040,13,13051,13051003000
acb412b6-17e2-4549-a4ec-c07d6ba15570,"Census Tract 303.04, Hancock County, Mississippi",-89.427,30.304,28,28045,28045030304
4055d124-13f5-4eea-8bdf-a6f4962bc08c,"Census Tract 9502, Pontotoc County, Mississippi",-89.179,34.307,28,28115,28115950200
7fd4124c-5275-4e0f-86b3-5ffaab902c39,"Census Tract 3, Forrest County, Mississippi",-89.309,31.326,28,28035,28035000300
f24c4b91-9799-4306-a15b-90576d5c0db6,"Census Tract 105, Murray County, Georgia",-84.825,34.772,13,13213,13213010500
d4b80503-ef07-4667-8afa-cf42435e0a37,"Census Tract 9400.01, Brown County, Wisconsin",-88.156,44.499,55,55009,55009940001
3aa16eba-59a7-4a8e-bc0c-7959922f2229,"Census Tract 418, Jackson County, Mississippi",-88.521,30.391,28,28059,28059041800
e7a1ccbd-3d1d-48a0-940b-baa1e9e6d994,"Census Tract 28, Chatham County, Georgia",-81.104,32.050,13,13051,13051002800
5fc98240-1ef4-422e-946a-e1dcf84dfe7d,"Census Tract 6.02, Barron County, Wisconsin",-91.738,45.506,55,55005,55005000602
966e9283-be88-48e0-b393-7446be4b2c6e,"Census Tract 9203, Hampton County, South Carolina",-80.851,32.695,45,45049,45049920300
dad891d4-3021-4f31-b920-a227c47b6c72,"Census Tract 221.02, Spartanburg County, South Carolina",-81.837,34.950,45,45083,45083022102
af941dcc-7b58-4897-be55-e0a39f35604c,"Census Tract 9504.01, Covington County, Mississippi",-89.648,31.571,28,28031,28031950401
ee675943-2aa7-4acc-ac0e-bc2becead0e3,"Census Tract 403, Horry County, South Carolina",-78.685,33.828,45,45051,45051040300
e10fe12a-88f2-4dea-8c83-2bf5f77b3419,"Census Tract 9501.01, George County, Mississippi",-88.505,30.749,28,28039,28039950101
b6c2909a-5f5b-463f-b608-0a10b77db24c,"Census Tract 1805.01, Barrow County, Georgia",-83.776,33.927,13,13013,13013180501
b70adf02-b2b0-4c0c-881b-09e135487e6b,"Census Tract 9109, Carroll County, Georgia",-85.131,33.454,13,13045,13045910900
81d0c192-00b0-4f2b-a490-1554fb423248,"Census Tract 116.08, Richland County, South Carolina",-80.921,33.964,45,45079,45079011608
