stfp,geoid,cntyfp,baseyear,lastgeyear,changeyear,changenopolls,nopollsadded,nopollsremoved,baseyearpctcvapblack,baseyearpctblack,baseyearpcthispanic,baseyearpctcvapwhite,baseyearpctwhite,baseyearpopdensity,baseyearpollinglocstotal,baseyeartotalpop,baseyearcvap,baseyearpopperpoll,baseyearcvapperpoll,lastgeyearpollinglocstotal,lastgeyeartotalpop,lastgeyearcvap,lastgeyearpopperpoll,lastgeyearcvapperpoll,changeyearpopperpoll,changeyearcvapperpoll
13,13097,13097,2022,2020,2020 - 2022,7,5,2,0.484,0.483,0.107,0.356,0.426,723.249,28,144735,101650,5169,3630,25,145065,102085,5802,4083,-633,-453
13,13053,13053,2022,2020,2020 - 2022,1,1,0,0.161,0.195,0.176,0.563,0.629,37.791,2,9400,7205,4700,3602,1,10470,8145,10470,8145,-5770,-4543
13,13175,13175,2022,2020,2020 - 2022,3,2,1,0.375,0.384,0.029,0.574,0.579,61.195,17,49405,36955,2906,2173,16,47405,35345,2962,2209,-56,-36
13,13179,13179,2022,2020,2020 - 2022,11,6,5,0.407,0.414,0.127,0.380,0.422,126.921,14,65550,45630,4682,3259,13,62040,43055,4772,3311,-90,-52
13,13181,13181,2018,2016,2016 - 2018,0,0,0,0.315,0.316,0.017,0.658,0.669,37.076,7,7800,6240,1114,891,7,7710,6180,1101,882,13,9
13,13181,13181,2020,2018,2018 - 2020,0,0,0,0.300,0.3,0.020,0.665,0.676,37.693,7,7930,6250,1132,892,7,7800,6240,1114,891,18,1
13,13181,13181,2022,2020,2020 - 2022,0,0,0,0.282,0.29,0.022,0.676,0.677,36.719,7,7725,6095,1103,870,7,7930,6250,1132,892,-29,-22
13,13115,13115,2022,2020,2020 - 2022,4,1,3,0.139,0.141,0.118,0.702,0.773,193.283,22,98540,71870,4479,3266,24,97805,70630,4075,2942,404,324
13,13115,13115,2020,2018,2018 - 2020,2,1,1,0.139,0.139,0.113,0.709,0.781,191.846,24,97805,70630,4075,2942,24,96825,69690,4034,2903,41,39
13,13115,13115,2018,2016,2016 - 2018,2,1,1,0.143,0.143,0.108,0.717,0.782,189.919,24,96825,69690,4034,2903,24,96200,68655,4008,2860,26,43
13,13113,13113,2020,2018,2018 - 2020,0,0,0,0.238,0.235,0.073,0.615,0.645,583.599,35,113545,82620,3244,2360,35,111370,80750,3182,2307,62,53
13,13113,13113,2018,2016,2016 - 2018,4,2,2,0.223,0.218,0.072,0.633,0.678,572.975,35,111370,80750,3182,2307,35,109495,78815,3128,2251,54,56
13,13111,13111,2022,2020,2020 - 2022,1,1,0,0.008,0.003,0.028,0.940,0.942,65.706,13,25435,21165,1956,1628,12,25795,21355,2149,1779,-193,-151
13,13111,13111,2020,2018,2018 - 2020,0,0,0,0.005,0.002,0.025,0.947,0.958,66.636,12,25795,21355,2149,1779,12,24925,20515,2077,1709,72,70
13,13111,13111,2018,2016,2016 - 2018,0,0,0,0.003,0.003,0.023,0.951,0.969,64.401,12,24925,20515,2077,1709,12,24015,19625,2001,1635,76,74
13,13109,13109,2022,2020,2020 - 2022,1,1,0,0.274,0.284,0.121,0.558,0.565,58.832,2,10760,7495,5380,3747,1,10670,7450,10670,7450,-5290,-3703
13,13109,13109,2020,2018,2018 - 2020,0,0,0,0.285,0.286,0.118,0.563,0.58,58.340,1,10670,7450,10670,7450,1,10725,7550,10725,7550,-55,-100
13,13003,13003,2018,2016,2016 - 2018,0,0,0,0.178,0.18,0.246,0.569,0.722,24.116,4,8265,5190,2066,1297,4,8270,5150,2067,1287,-1,10
13,13001,13001,2022,2020,2020 - 2022,5,2,3,0.182,0.197,0.103,0.684,0.727,36.280,8,18440,13090,2305,1636,9,18430,13275,2047,1475,258,161
13,13233,13233,2022,2020,2020 - 2022,3,2,1,0.126,0.123,0.138,0.711,0.785,138.622,8,43020,30070,5377,3758,7,42250,29530,6035,4218,-658,-460
13,13233,13233,2020,2018,2018 - 2020,4,2,2,0.113,0.113,0.132,0.719,0.795,136.143,7,42250,29530,6035,4218,7,41620,28990,5945,4141,90,77
13,13285,13285,2022,2020,2020 - 2022,4,2,2,0.362,0.367,0.039,0.555,0.571,167.931,15,69525,51210,4635,3414,15,70095,51450,4673,3430,-38,-16
13,13285,13285,2020,2018,2018 - 2020,2,1,1,0.366,0.366,0.037,0.561,0.58,169.308,15,70095,51450,4673,3430,15,69775,50790,4651,3386,22,44
13,13285,13285,2018,2016,2016 - 2018,5,3,2,0.356,0.357,0.037,0.568,0.588,168.536,15,69775,50790,4651,3386,14,69315,49985,4951,3570,-300,-184
13,13283,13283,2022,2020,2020 - 2022,1,1,0,0.285,0.278,0.009,0.686,0.708,32.141,2,6410,4855,3205,2427,1,6785,5045,6785,5045,-3580,-2618
13,13283,13283,2020,2018,2018 - 2020,0,0,0,0.290,0.29,0.018,0.690,0.706,34.022,1,6785,5045,6785,5045,1,6775,5035,6775,5035,10,10
13,13283,13283,2018,2016,2016 - 2018,1,0,1,0.271,0.272,0.018,0.709,0.723,33.971,1,6775,5035,6775,5035,2,6710,5180,3355,2590,3420,2445
13,13205,13205,2018,2016,2016 - 2018,1,1,0,0.465,0.466,0.045,0.461,0.495,43.795,13,22430,16625,1725,1278,12,22780,16900,1898,1408,-173,-130
13,13205,13205,2020,2018,2018 - 2020,0,0,0,0.459,0.46,0.047,0.457,0.481,43.092,13,22070,16730,1697,1286,13,22430,16625,1725,1278,-28,8
13,13205,13205,2022,2020,2020 - 2022,3,2,1,0.447,0.465,0.050,0.460,0.477,42.243,14,21635,16375,1545,1169,13,22070,16730,1697,1286,-152,-117
13,13207,13207,2018,2016,2016 - 2018,0,0,0,0.233,0.233,0.023,0.723,0.734,68.191,13,27010,20990,2077,1614,13,27045,21050,2080,1619,-3,-5
13,13207,13207,2020,2018,2018 - 2020,0,0,0,0.228,0.228,0.024,0.726,0.737,69.315,13,27455,21410,2111,1646,13,27010,20990,2077,1614,34,32
13,13207,13207,2022,2020,2020 - 2022,3,2,1,0.216,0.224,0.025,0.727,0.739,71.410,14,28285,22275,2020,1591,13,27455,21410,2111,1646,-91,-55
13,13209,13209,2018,2016,2016 - 2018,2,1,1,0.259,0.263,0.065,0.664,0.681,37.467,7,9035,6785,1290,969,7,9005,6715,1286,959,4,10
13,13209,13209,2020,2018,2018 - 2020,0,0,0,0.256,0.262,0.069,0.661,0.673,37.612,7,9070,7010,1295,1001,7,9035,6785,1290,969,5,32
13,13209,13209,2022,2020,2020 - 2022,3,2,1,0.235,0.258,0.074,0.655,0.679,36.016,8,8685,6745,1085,843,7,9070,7010,1295,1001,-210,-158
13,13281,13281,2022,2020,2020 - 2022,2,0,2,0.013,0.023,0.029,0.939,0.943,75.355,2,12545,10860,6272,5430,4,11815,10265,2953,2566,3319,2864
13,13281,13281,2018,2016,2016 - 2018,3,2,1,0.012,0.012,0.012,0.947,0.954,68.573,4,11415,9840,2853,2460,3,10975,9380,3658,3126,-805,-666
13,13279,13279,2022,2020,2020 - 2022,3,2,1,0.238,0.258,0.121,0.595,0.653,74.022,7,26945,18740,3849,2677,6,26945,18840,4490,3140,-641,-463
13,13279,13279,2020,2018,2018 - 2020,0,0,0,0.258,0.259,0.116,0.602,0.657,74.022,6,26945,18840,4490,3140,6,27050,18645,4508,3107,-18,33
13,13001,13001,2020,2018,2018 - 2020,5,1,4,0.198,0.198,0.100,0.690,0.738,36.260,9,18430,13275,2047,1475,12,18455,13465,1537,1122,510,353
13,13233,13233,2018,2016,2016 - 2018,4,2,2,0.122,0.122,0.131,0.721,0.773,134.115,7,41620,28990,5945,4141,7,41265,28485,5895,4069,50,72
13,13231,13231,2022,2020,2020 - 2022,7,4,3,0.089,0.086,0.019,0.870,0.878,88.599,9,19145,14540,2127,1615,8,18565,14145,2320,1768,-193,-153
13,13231,13231,2020,2018,2018 - 2020,0,0,0,0.093,0.089,0.017,0.870,0.881,85.915,8,18565,14145,2320,1768,8,18080,13610,2260,1701,60,67
13,13231,13231,2018,2016,2016 - 2018,6,3,3,0.100,0.1,0.015,0.869,0.879,83.670,8,18080,13610,2260,1701,8,17845,13275,2230,1659,30,42
13,13229,13229,2022,2020,2020 - 2022,1,1,0,0.097,0.1,0.051,0.837,0.856,58.216,3,19820,14650,6606,4883,2,19335,14210,9667,7105,-3061,-2222
13,13227,13227,2022,2020,2020 - 2022,5,3,2,0.005,0.013,0.033,0.931,0.878,144.101,13,33440,26595,2572,2045,12,32000,25210,2666,2100,-94,-55
13,13227,13227,2020,2018,2018 - 2020,0,0,0,0.016,0.016,0.031,0.859,0.874,137.896,12,32000,25210,2666,2100,12,30830,24155,2569,2012,97,88
13,13227,13227,2018,2016,2016 - 2018,2,1,1,0.013,0.013,0.031,0.873,0.898,132.855,12,30830,24155,2569,2012,12,29990,23350,2499,1945,70,67
13,13225,13225,2022,2020,2020 - 2022,1,1,0,0.437,0.446,0.082,0.449,0.499,186.680,7,28055,21680,4007,3097,6,27500,20945,4583,3490,-576,-393
13,13225,13225,2020,2018,2018 - 2020,0,0,0,0.443,0.445,0.077,0.455,0.49,182.986,6,27500,20945,4583,3490,6,26965,20400,4494,3400,89,90
13,13225,13225,2018,2016,2016 - 2018,0,0,0,0.446,0.447,0.075,0.459,0.488,179.448,6,26965,20400,4494,3400,6,26905,20060,4484,3343,10,57
13,13223,13223,2022,2020,2020 - 2022,21,13,8,0.208,0.203,0.076,0.665,0.718,543.940,18,169900,121295,9438,6738,13,164440,117500,12649,9038,-3211,-2300
13,13091,13091,2018,2016,2016 - 2018,21,7,14,0.281,0.281,0.035,0.653,0.674,42.181,7,20920,16500,2988,2357,14,20995,16285,1499,1163,1489,1194
13,13089,13089,2022,2020,2020 - 2022,45,23,22,0.531,0.528,0.085,0.293,0.326,2844.190,173,761210,532965,4400,3080,172,755285,522340,4391,3036,9,44
13,13089,13089,2020,2018,2018 - 2020,16,7,9,0.533,0.533,0.084,0.293,0.335,2820.962,172,755285,522340,4391,3036,174,743185,506820,4271,2912,120,124
13,13081,13081,2022,2020,2020 - 2022,4,2,2,0.448,0.457,0.040,0.490,0.521,74.281,5,20255,15340,4051,3068,5,22510,16915,4502,3383,-451,-315
13,13081,13081,2020,2018,2018 - 2020,0,0,0,0.458,0.458,0.035,0.498,0.525,82.551,5,22510,16915,4502,3383,5,22845,16755,4569,3351,-67,32
13,13081,13081,2018,2016,2016 - 2018,4,2,2,0.437,0.437,0.033,0.503,0.53,83.785,5,22845,16755,4569,3351,5,23060,17040,4612,3408,-43,-57
13,13079,13079,2022,2020,2020 - 2022,3,1,2,0.220,0.211,0.039,0.726,0.746,37.410,5,12155,9580,2431,1916,6,12265,9740,2044,1623,387,293
13,13079,13079,2020,2018,2018 - 2020,4,2,2,0.221,0.221,0.035,0.733,0.746,37.748,6,12265,9740,2044,1623,6,12345,9705,2057,1617,-13,6
13,13079,13079,2018,2016,2016 - 2018,8,4,4,0.241,0.241,0.013,0.735,0.744,37.995,6,12345,9705,2057,1617,6,12485,9700,2080,1616,-23,1
