geoid,cntyfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
0500000US13011,13011,"Banks County, Georgia",2016,18336,79,6,0.024
0500000US45009,45009,"Bamberg County, South Carolina",2016,15057,38,13,0.626
0500000US55119,55119,"Taylor County, Wisconsin",2014,20596,21,26,0.004
0500000US55083,55083,"Oconto County, Wisconsin",2012,37632,38,28,0.002
0500000US13295,13295,"Walker County, Georgia",2014,68445,153,,0.044
0500000US55059,55059,"Kenosha County, Wisconsin",2022,168743,621,41,0.067
0500000US13193,13193,"Macon County, Georgia",2022,12330,31,5,0.606
0500000US28017,28017,"Chickasaw County, Mississippi",2020,17060,34,,0.441
0500000US13205,13205,"Mitchell County, Georgia",2022,21940,43,12,0.465
0500000US45059,45059,"Laurens County, South Carolina",2014,66390,93,33,0.254
0500000US13267,13267,"Tattnall County, Georgia",2012,25023,52,,0.285
0500000US13173,13173,"Lanier County, Georgia",2022,9874,50,1,0.226
0500000US13131,13131,"Grady County, Georgia",2022,26076,57,13,0.284
0500000US55105,55105,"Rock County, Wisconsin",2020,162532,226,47,0.046
0500000US55021,55021,"Columbia County, Wisconsin",2014,56659,74,33,0.015
0500000US28127,28127,"Simpson County, Mississippi",2022,26064,44,16,0.367
0500000US13065,13065,"Clinch County, Georgia",2014,6777,8,,0.269
0500000US28113,28113,"Pike County, Mississippi",2012,40300,99,24,0.517
0500000US13177,13177,"Lee County, Georgia",2022,32547,91,10,0.228
0500000US13075,13075,"Cook County, Georgia",2014,17061,75,,0.275
0500000US28107,28107,"Panola County, Mississippi",2012,34675,51,26,0.495
0500000US28067,28067,"Jones County, Mississippi",2012,67868,98,27,0.282
0500000US55021,55021,"Columbia County, Wisconsin",2020,57331,75,33,0.018
0500000US45047,45047,"Greenwood County, South Carolina",2020,70672,155,45,0.323
0500000US13169,13169,"Jones County, Georgia",2020,28622,73,10,0.245
0500000US55117,55117,"Sheboygan County, Wisconsin",2020,115152,225,35,0.02
0500000US55003,55003,"Ashland County, Wisconsin",2014,16065,15,18,0.003
0500000US45051,45051,"Horry County, South Carolina",2020,344186,304,119,0.13
0500000US28131,28131,"Stone County, Mississippi",2016,17995,40,8,0.195
0500000US13275,13275,"Thomas County, Georgia",2016,44977,83,20,0.36
0500000US28145,28145,"Union County, Mississippi",2022,27775,67,18,0.156
0500000US28047,28047,"Harrison County, Mississippi",2018,202626,353,53,0.246
0500000US28097,28097,"Montgomery County, Mississippi",2012,10866,27,13,0.468
0500000US28157,28157,"Wilkinson County, Mississippi",2022,8706,13,9,0.691
0500000US55085,55085,"Oneida County, Wisconsin",2022,37468,34,23,0.005
0500000US55109,55109,"St. Croix County, Wisconsin",2020,89702,124,36,0.007
0500000US28001,28001,"Adams County, Mississippi",2018,31547,68,20,0.566
0500000US13245,13245,"Richmond County, Georgia",2014,201244,620,,0.545
0500000US28135,28135,"Tallahatchie County, Mississippi",2022,12917,20,16,0.615
0500000US45077,45077,"Pickens County, South Carolina",2012,119167,240,54,0.064
0500000US55093,55093,"Pierce County, Wisconsin",2018,41603,72,29,0.005
0500000US55027,55027,"Dodge County, Wisconsin",2012,88741,101,43,0.028
0500000US28023,28023,"Clarke County, Mississippi",2014,16509,24,21,0.356
0500000US13219,13219,"Oconee County, Georgia",2016,35071,190,13,0.059
0500000US13179,13179,"Liberty County, Georgia",2014,64489,132,,0.405
0500000US13007,13007,"Baker County, Georgia",2014,3342,10,,0.464
0500000US13315,13315,"Wilcox County, Georgia",2018,8846,23,4,0.353
