geoid,name,year,est_total_population,population_density,percentage_race_white,percentage_race_black_african_american,percentage_race_american_indian_alaska_native,percentage_race_asian,percentage_race_native_hawaiian_pacific_islander,percentage_race_other_race,percentage_race_two_plus_races,percentage_race_two_plus_races_includes_other_race,percentage_race_two_plus_races_excludes_other_race,registered_voters_total,partisan_lean_left,partisan_lean_right,polling_locations_total,registered_voters_per_polling_location,polling_locations_removed_since_last_general,polling_locations_added_since_last_general,est_total_housing_units,est_total_occupied_housing_units,est_total_vacant_housing_units,est_occupied_housing_units_with_vehicle_available,est_occupied_housing_units_no_vehicle_available
0500000US01001,"Autauga County, Alabama",2012,54590,,0.789,0.181,0.003,0.008,0,0.004,0.015,0.001,0.014,,,,,,,,,,,,
0500000US01003,"Baldwin County, Alabama",2012,183226,,0.864,0.093,0.006,0.007,0,0.014,0.016,0.001,0.015,,,,,,,,,,,,
0500000US01005,"Barbour County, Alabama",2012,27469,,0.49,0.46,0.001,0.008,0,0.021,0.021,0.001,0.019,,,,,,,,,,,,
0500000US01007,"Bibb County, Alabama",2012,22769,,0.767,0.218,0.004,0.001,0,0,0.011,0,0.011,,,,,,,,,,,,
0500000US01009,"Blount County, Alabama",2012,57466,,0.949,0.013,0.004,0.002,0,0.018,0.015,0,0.015,,,,,,,,,,,,
0500000US01011,"Bullock County, Alabama",2012,10779,,0.281,0.706,0.002,0,0.003,0,0.008,0,0.008,,,,,,,,,,,,
0500000US01013,"Butler County, Alabama",2012,20730,,0.549,0.432,0.002,0.009,0,0.001,0.007,0.002,0.005,,,,,,,,,,,,
0500000US01015,"Calhoun County, Alabama",2012,117834,,0.75,0.207,0.003,0.007,0.001,0.014,0.018,0.001,0.016,,,,,,,,,,,,
0500000US01017,"Chambers County, Alabama",2012,34228,,0.589,0.392,0,0.005,0,0.001,0.011,0.001,0.011,,,,,,,,,,,,
0500000US01019,"Cherokee County, Alabama",2012,25917,,0.929,0.048,0.006,0.003,0,0.003,0.01,0.001,0.01,,,,,,,,,,,,
0500000US01021,"Chilton County, Alabama",2012,43611,,0.868,0.099,0.004,0.002,0,0.019,0.008,0.001,0.007,,,,,,,,,,,,
0500000US01023,"Choctaw County, Alabama",2012,13838,,0.554,0.429,0,0.002,0,0.002,0.013,0.004,0.009,,,,,,,,,,,,
0500000US01025,"Clarke County, Alabama",2012,25768,,0.544,0.439,0.005,0.004,0,0.002,0.007,0,0.007,,,,,,,,,,,,
0500000US01027,"Clay County, Alabama",2012,13828,,0.819,0.156,0.002,0,0,0.009,0.014,0.001,0.013,,,,,,,,,,,,
0500000US01029,"Cleburne County, Alabama",2012,14905,,0.947,0.038,0.002,0,0,0.001,0.011,0.001,0.01,,,,,,,,,,,,
0500000US01031,"Coffee County, Alabama",2012,49966,,0.774,0.173,0.009,0.013,0,0.006,0.025,0.002,0.023,,,,,,,,,,,,
0500000US01033,"Colbert County, Alabama",2012,54451,,0.807,0.16,0.006,0.004,0,0.008,0.016,0.002,0.013,,,,,,,,,,,,
0500000US01035,"Conecuh County, Alabama",2012,13188,,0.515,0.465,0.005,0.001,0,0,0.014,0,0.014,,,,,,,,,,,,
0500000US01037,"Coosa County, Alabama",2012,11305,,0.676,0.315,0.001,0,0,0.001,0.007,0,0.007,,,,,,,,,,,,
