pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E610000037894160E50855C023DBF97E6ABC3E40,BEACHTON FIRE DEPARTMENT,30.736,-84.139,GA,2018,2016 - 2018,0101000020E610000037894160E50855C023DBF97E6ABC3E40,added
0101000020E610000096438B6CE76354C01F85EB51B8BE3E40,SALVATION ARMY-GEORGIA ROOM,30.745,-81.561,GA,2018,2016 - 2018,0101000020E610000096438B6CE76354C01F85EB51B8BE3E40,added
0101000020E6100000CDCCCCCCCC6454C054E3A59BC4C03E40,SAINT MARYS MIDDLE SCHOOL,30.753,-81.575,GA,2018,2016 - 2018,0101000020E6100000CDCCCCCCCC6454C054E3A59BC4C03E40,added
0101000020E6100000E7FBA9F1D26554C085EB51B81EC53E40,MARY LEE CLARK ELEMENTARY SCHOOL,30.770,-81.591,GA,2018,2016 - 2018,0101000020E6100000E7FBA9F1D26554C085EB51B81EC53E40,added
0101000020E6100000894160E5D01255C04C37894160C53E40,RENO COMMUNITY CLUB,30.771,-84.294,GA,2018,2016 - 2018,0101000020E6100000894160E5D01255C04C37894160C53E40,added
0101000020E6100000C3F5285C8FF254C05EBA490C02CB3E40,BOSTON COMMUNITY CENTER,30.793,-83.790,GA,2018,2016 - 2018,0101000020E6100000C3F5285C8FF254C05EBA490C02CB3E40,added
0101000020E61000001283C0CAA16D54C0CDCCCCCCCCCC3E40,KINGSLAND ELEMENTARY SCHOOL,30.800,-81.713,GA,2018,2016 - 2018,0101000020E61000001283C0CAA16D54C0CDCCCCCCCCCC3E40,added
0101000020E6100000BE9F1A2FDD6454C05A643BDF4FCD3E40,CHARLIE SMITH SR FIRE STATION,30.802,-81.576,GA,2018,2016 - 2018,0101000020E6100000BE9F1A2FDD6454C05A643BDF4FCD3E40,added
0101000020E6100000E5D022DBF96E54C0022B8716D9CE3E40,BROWNTOWN FIRE STATION,30.808,-81.734,GA,2018,2016 - 2018,0101000020E6100000E5D022DBF96E54C0022B8716D9CE3E40,added
0101000020E6100000BC74931804FE54C03333333333D33E40,JERGER ELEMENTARY SCHOOL GYM,30.825,-83.969,GA,2018,2016 - 2018,0101000020E6100000BC74931804FE54C03333333333D33E40,added
0101000020E61000007593180456FE54C02B8716D9CED73E40,SCOTT ELEMENTARY SCHOOL GYM,30.843,-83.974,GA,2018,2016 - 2018,0101000020E61000007593180456FE54C02B8716D9CED73E40,added
0101000020E6100000F6285C8FC26554C0AC1C5A643BDF3E40,HARRIETTS BLUFF FIRE STATION,30.872,-81.590,GA,2018,2016 - 2018,0101000020E6100000F6285C8FC26554C0AC1C5A643BDF3E40,added
0101000020E6100000931804560EC554C09CC420B072E83E40,PR 04 NAYLOR,30.908,-83.079,GA,2018,2016 - 2018,0101000020E6100000931804560EC554C09CC420B072E83E40,added
0101000020E6100000CBA145B6F32555C0D122DBF97EEA3E40,WEST BAINBRIDGE OLD MIDDLE SCHOOL,30.916,-84.593,GA,2018,2016 - 2018,0101000020E6100000CBA145B6F32555C0D122DBF97EEA3E40,added
0101000020E61000004E62105839F454C0986E1283C0EA3E40,PATTEN (BELL MISSION CHURCH OF GOD FELLOWSHIP HALL),30.917,-83.816,GA,2018,2016 - 2018,0101000020E61000004E62105839F454C0986E1283C0EA3E40,added
0101000020E6100000F2D24D6210C054C037894160E5F03E40,STOCKTON BAPTIST CHURCH,30.941,-83.001,GA,2018,2016 - 2018,0101000020E6100000F2D24D6210C054C037894160E5F03E40,added
0101000020E6100000C74B378941F854C06DE7FBA9F1F23E40,MERRILVILLE COURT HOUSE,30.949,-83.879,GA,2018,2016 - 2018,0101000020E6100000C74B378941F854C06DE7FBA9F1F23E40,added
0101000020E61000008716D9CEF71355C03333333333F33E40,WAYSIDE COMMUNITY CENTER,30.950,-84.312,GA,2018,2016 - 2018,0101000020E61000008716D9CEF71355C03333333333F33E40,added
0101000020E61000002DB29DEFA7EE54C0F6285C8FC2F53E40,STATION 1300 (PAVO) FIRE DEPARTMENT,30.960,-83.729,GA,2018,2016 - 2018,0101000020E61000002DB29DEFA7EE54C0F6285C8FC2F53E40,added
0101000020E610000039B4C876BED754C0CBA145B6F3FD3E40,HISTORICAL SOC,30.992,-83.371,GA,2018,2016 - 2018,0101000020E610000039B4C876BED754C0CBA145B6F3FD3E40,added
0101000020E61000008FC2F5285CFF54C05839B4C876FE3E40,ELLABELLE COURTHOUSE,30.994,-83.990,GA,2018,2016 - 2018,0101000020E61000008FC2F5285CFF54C05839B4C876FE3E40,added
0101000020E6100000068195438BC454C02DB29DEFA7063F40,JIM & MARY THREATTE CENTER,31.026,-83.071,GA,2018,2016 - 2018,0101000020E6100000068195438BC454C02DB29DEFA7063F40,added
0101000020E6100000F853E3A59BCC54C0F4FDD478E9063F40,MINISTRY BAPTIST CHURCH,31.027,-83.197,GA,2018,2016 - 2018,0101000020E6100000F853E3A59BCC54C0F4FDD478E9063F40,added
0101000020E6100000CDCCCCCCCCC454C0D122DBF97E0A3F40,MUD CREEK FIRE STATION,31.041,-83.075,GA,2018,2016 - 2018,0101000020E6100000CDCCCCCCCCC454C0D122DBF97E0A3F40,added
0101000020E6100000B6F3FDD478A954C03333333333133F40,POST OFFICE BUILDING (BACK SIDE),31.075,-82.648,GA,2018,2016 - 2018,0101000020E6100000B6F3FDD478A954C03333333333133F40,added
0101000020E6100000EE7C3F355E1255C04E62105839143F40,CO LINE FIRE DEPARTMENT,31.079,-84.287,GA,2018,2016 - 2018,0101000020E6100000EE7C3F355E1255C04E62105839143F40,added
0101000020E61000002FDD2406816554C0355EBA490C223F40,SATILLA MARSH ELEMENTARY SCHOOL,31.133,-81.586,GA,2018,2016 - 2018,0101000020E61000002FDD2406816554C0355EBA490C223F40,added
0101000020E6100000CBA145B6F36554C062105839B4283F40,MARSHES OF GLYNN CHURCH,31.159,-81.593,GA,2018,2016 - 2018,0101000020E6100000CBA145B6F36554C062105839B4283F40,added
0101000020E6100000AC1C5A643B5F54C062105839B4283F40,BURROUGHS MOLETTE ELEMENTARY SCHOOL,31.159,-81.488,GA,2018,2016 - 2018,0101000020E6100000AC1C5A643B5F54C062105839B4283F40,added
0101000020E6100000E17A14AE479954C0E3A59BC420303F40,EMERSON PARK VOL. FIRE STATION,31.188,-82.395,GA,2018,2016 - 2018,0101000020E6100000E17A14AE479954C0E3A59BC420303F40,added
0101000020E6100000F4FDD478E99654C0DF4F8D976E323F40,RIVER OF LIFE CHURCH,31.197,-82.358,GA,2018,2016 - 2018,0101000020E6100000F4FDD478E99654C0DF4F8D976E323F40,added
0101000020E61000001F85EB51B85E54C0A245B6F3FD343F40,ABUNDANT LIFE CHURCH,31.207,-81.480,GA,2018,2016 - 2018,0101000020E61000001F85EB51B85E54C0A245B6F3FD343F40,added
0101000020E6100000AAF1D24D625854C0F2D24D6210383F40,OGLETHORPE POINT ELEMENTARY SCHOOL,31.219,-81.381,GA,2018,2016 - 2018,0101000020E6100000AAF1D24D625854C0F2D24D6210383F40,added
