localityid,geoid,name,x,y,stfp,cntyfp,tractfp
003edf00-edf6-4a40-8d7b-f0875c4eb8ef,1400000US13091960600,"Census Tract 9606, Dodge County, Georgia",-83.200,31.989,13,091,13091960600
0051902c-7acc-4596-9b07-22dc94c76aac,1400000US13317010301,"Census Tract 103.01, Wilkes County, Georgia",-82.739,33.737,13,317,13317010301
00786b59-95e1-4a0b-b8f9-6d43f016b34b,1400000US13121010108,"Census Tract 101.08, Fulton County, Georgia",-84.292,33.960,13,121,13121010108
00914581-5f16-4cae-80f6-6cc241642cbd,1400000US13063040510,"Census Tract 405.10, Clayton County, Georgia",-84.437,33.591,13,063,13063040510
00991560-aa39-4c59-bd90-96c0da7a609c,1400000US13135050218,"Census Tract 502.18, Gwinnett County, Georgia",-84.134,33.987,13,135,13135050218
009be6a3-db6e-456e-9b73-1b4bb0951e68,1400000US13157010102,"Census Tract 101.02, Jackson County, Georgia",-83.714,34.080,13,157,13157010102
009be6a3-db6e-456e-9b73-1b4bb0951e68,1400000US13157010107,"Census Tract 101.07, Jackson County, Georgia",-83.714,34.080,13,157,13157010107
00af415a-05f0-444b-bd61-be9a78580a2c,1400000US13187960204,"Census Tract 9602.04, Lumpkin County, Georgia",-83.982,34.535,13,187,13187960204
00c861ee-b1d2-4be8-bb79-15536570f7e8,1400000US13185010202,"Census Tract 102.02, Lowndes County, Georgia",-83.371,30.992,13,185,13185010202
00c861ee-b1d2-4be8-bb79-15536570f7e8,1400000US13185010203,"Census Tract 102.03, Lowndes County, Georgia",-83.371,30.992,13,185,13185010203
00da5803-ec3e-4e59-bbce-5eb6e54b6dbd,1400000US13245010512,"Census Tract 105.12, Richmond County, Georgia",-82.070,33.429,13,245,13245010512
00e5104c-6038-4084-a877-c94867733198,1400000US13311950300,"Census Tract 9503, White County, Georgia",-83.727,34.551,13,311,13311950300
00e5104c-6038-4084-a877-c94867733198,1400000US13311950301,"Census Tract 9503.01, White County, Georgia",-83.727,34.551,13,311,13311950301
00e686ac-a3b9-4dca-8459-00f2cf650fa2,1400000US13089021211,"Census Tract 212.11, DeKalb County, Georgia",-84.271,33.952,13,089,13089021211
00eccb34-f152-4c0f-9462-53bdca5da73b,1400000US13121010304,"Census Tract 103.04, Fulton County, Georgia",-84.574,33.673,13,121,13121010304
00eccb34-f152-4c0f-9462-53bdca5da73b,1400000US13121010306,"Census Tract 103.06, Fulton County, Georgia",-84.574,33.673,13,121,13121010306
01016115-7d91-4735-806c-82dab50fb29d,1400000US13089023501,"Census Tract 235.01, DeKalb County, Georgia",-84.253,33.736,13,089,13089023501
0102c1d2-3c97-484e-9331-df6b45913e54,1400000US13089021704,"Census Tract 217.04, DeKalb County, Georgia",-84.288,33.828,13,089,13089021704
0102c1d2-3c97-484e-9331-df6b45913e54,1400000US13089021707,"Census Tract 217.07, DeKalb County, Georgia",-84.288,33.828,13,089,13089021707
0103b7f5-9e1a-4016-b345-c0d9be58ab1f,1400000US13191110300,"Census Tract 1103, McIntosh County, Georgia",-81.434,31.375,13,191,13191110300
011cbfcd-5bb7-4428-892c-23e6aafa47e3,1400000US13121008400,"Census Tract 84, Fulton County, Georgia",-84.442,33.760,13,121,13121008400
012afb47-7ca5-49ff-9475-c7ba3accb4eb,1400000US13277960200,"Census Tract 9602, Tift County, Georgia",-83.648,31.475,13,277,13277960200
012fb7f6-32a4-4a3a-9240-fe12cd33e1f9,1400000US13089023208,"Census Tract 232.08, DeKalb County, Georgia",-84.180,33.770,13,089,13089023208
012fb7f6-32a4-4a3a-9240-fe12cd33e1f9,1400000US13089023221,"Census Tract 232.21, DeKalb County, Georgia",-84.180,33.770,13,089,13089023221
01442295-d7e1-485e-bcd7-17632cc4505b,1400000US13081010100,"Census Tract 101, Crisp County, Georgia",-83.658,32.004,13,081,13081010100
016ca8d6-6fed-4739-a7bd-042a961fed34,1400000US13121003000,"Census Tract 30, Fulton County, Georgia",-84.353,33.762,13,121,13121003000
016e7b61-9aa9-40b9-b234-48dd9b9b8212,1400000US13121010121,"Census Tract 101.21, Fulton County, Georgia",-84.378,33.929,13,121,13121010121
0173e29f-eed9-4fea-ad1e-0a29f0508d65,1400000US13011970200,"Census Tract 9702, Banks County, Georgia",-83.497,34.335,13,011,13011970200
0189c7c4-0274-4e33-a000-90fd951cc313,1400000US13113140502,"Census Tract 1405.02, Fayette County, Georgia",-84.467,33.306,13,113,13113140502
0195c581-bf61-4937-8a61-c27352c2deee,1400000US13103030401,"Census Tract 304.01, Effingham County, Georgia",-81.379,32.142,13,103,13103030401
01b5dcd3-44d9-486c-89fe-2cf44b6799e7,1400000US13033950100,"Census Tract 9501, Burke County, Georgia",-81.851,33.111,13,033,13033950100
01b5dcd3-44d9-486c-89fe-2cf44b6799e7,1400000US13033950102,"Census Tract 9501.02, Burke County, Georgia",-81.851,33.111,13,033,13033950102
01c2ff15-2d6c-437e-9e00-26f8f3d13256,1400000US13261950500,"Census Tract 9505, Sumter County, Georgia",-84.233,32.059,13,261,13261950500
01d926d9-373b-4f04-977b-faba92c73f4d,1400000US13135050727,"Census Tract 507.27, Gwinnett County, Georgia",-83.968,33.912,13,135,13135050727
01d926d9-373b-4f04-977b-faba92c73f4d,1400000US13135050741,"Census Tract 507.41, Gwinnett County, Georgia",-83.968,33.912,13,135,13135050741
01da104f-ce2d-476e-a027-532bb2b88111,1400000US13225040102,"Census Tract 401.02, Peach County, Georgia",-83.762,32.654,13,225,13225040102
01da104f-ce2d-476e-a027-532bb2b88111,1400000US13225040103,"Census Tract 401.03, Peach County, Georgia",-83.762,32.654,13,225,13225040103
01e8fcb8-a6d5-49e0-a20a-c0b7bd08e2b3,1400000US13291000206,"Census Tract 2.06, Union County, Georgia",-83.961,34.879,13,291,13291000206
01ee9a43-ed10-4ab9-88b3-fd4ed1389e6b,1400000US13121011416,"Census Tract 114.16, Fulton County, Georgia",-84.336,34.060,13,121,13121011416
02087519-d170-44f4-9961-eb00aa1e6b39,1400000US13067031110,"Census Tract 311.10, Cobb County, Georgia",-84.527,33.874,13,067,13067031110
020e3056-26e4-4b59-a0da-7e737f09100f,1400000US13135050718,"Census Tract 507.18, Gwinnett County, Georgia",-84.035,33.868,13,135,13135050718
020e3056-26e4-4b59-a0da-7e737f09100f,1400000US13135050763,"Census Tract 507.63, Gwinnett County, Georgia",-84.035,33.868,13,135,13135050763
021a2f8c-b0b1-4fe0-9809-b57d599d7b7e,1400000US13261950100,"Census Tract 9501, Sumter County, Georgia",-84.140,32.197,13,261,13261950100
021abe78-c419-456e-a04b-072b3a382885,1400000US13221960202,"Census Tract 9602.02, Oglethorpe County, Georgia",-83.156,33.883,13,221,13221960202
021abe78-c419-456e-a04b-072b3a382885,1400000US13221960206,"Census Tract 9602.06, Oglethorpe County, Georgia",-83.156,33.883,13,221,13221960206
021ff45a-e2b9-4de4-93d2-b7589791e74b,1400000US13139001404,"Census Tract 14.04, Hall County, Georgia",-83.884,34.228,13,139,13139001404
022fb19b-c1ff-4d3b-b444-f4736c6f207b,1400000US13175950100,"Census Tract 9501, Laurens County, Georgia",-82.798,32.593,13,175,13175950100
026c9854-46e4-4ff5-a0fa-be8c538cc2df,1400000US13139000500,"Census Tract 5, Hall County, Georgia",-83.851,34.348,13,139,13139000500
026c9854-46e4-4ff5-a0fa-be8c538cc2df,1400000US13139000502,"Census Tract 5.02, Hall County, Georgia",-83.851,34.348,13,139,13139000502
02908a4f-1bb2-4ed1-83b4-3e315621ebd4,1400000US13073030402,"Census Tract 304.02, Columbia County, Georgia",-82.328,33.610,13,073,13073030402
02908a4f-1bb2-4ed1-83b4-3e315621ebd4,1400000US13073030404,"Census Tract 304.04, Columbia County, Georgia",-82.328,33.610,13,073,13073030404
029c4845-cef6-4798-ab69-ad728da841db,1400000US13067030602,"Census Tract 306.02, Cobb County, Georgia",-84.554,33.957,13,067,13067030602
02b9c3a9-5b53-443a-819c-fd844a744c39,1400000US13067030103,"Census Tract 301.03, Cobb County, Georgia",-84.659,34.051,13,067,13067030103
02b9c3a9-5b53-443a-819c-fd844a744c39,1400000US13067030111,"Census Tract 301.11, Cobb County, Georgia",-84.659,34.051,13,067,13067030111
02cefcd2-87db-4fe2-830d-74174ce4e79e,1400000US13067030218,"Census Tract 302.18, Cobb County, Georgia",-84.633,33.988,13,067,13067030218
02cefcd2-87db-4fe2-830d-74174ce4e79e,1400000US13067030265,"Census Tract 302.65, Cobb County, Georgia",-84.633,33.988,13,067,13067030265
