pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E61000005C8FC2F5285C56C0BE9F1A2FDD443E40,LAKESHORE,30.269,-89.440,MS,2014,2012 - 2014,0101000020E61000005C8FC2F5285C56C0BE9F1A2FDD443E40,added
0101000020E61000001D5A643BDF5756C0295C8FC2F5483E40,WAVELAND EAST,30.285,-89.373,MS,2014,2012 - 2014,0101000020E61000001D5A643BDF5756C0295C8FC2F5483E40,added
0101000020E6100000AAF1D24D625856C021B07268914D3E40,WAVELAND WEST,30.303,-89.381,MS,2014,2012 - 2014,0101000020E6100000AAF1D24D625856C021B07268914D3E40,added
0101000020E610000017D9CEF7535B56C0E7FBA9F1D24D3E40,BAYOU PHILLIP,30.304,-89.427,MS,2014,2012 - 2014,0101000020E610000017D9CEF7535B56C0E7FBA9F1D24D3E40,added
0101000020E61000005839B4C8764E56C01904560E2D523E40,"TECH CENTER, USM GULF PARK CAMPUS",30.321,-89.226,MS,2014,2012 - 2014,0101000020E61000005839B4C8764E56C01904560E2D523E40,added
0101000020E6100000FCA9F1D24D4A56C0D34D621058593E40,LONG BEACH POLICE DEPARTMENT SHELTER,30.349,-89.161,MS,2014,2012 - 2014,0101000020E6100000FCA9F1D24D4A56C0D34D621058593E40,added
0101000020E610000060E5D022DB4956C0D34D621058593E40,METHODIST CHURCH-CHRISTIAN LIFE CENTER,30.349,-89.154,MS,2014,2012 - 2014,0101000020E610000060E5D022DB4956C0D34D621058593E40,added
0101000020E6100000B6F3FDD4784956C09A99999999593E40,PRESBYTERIAN CHURCH EDUCATION BUILDING,30.350,-89.148,MS,2014,2012 - 2014,0101000020E6100000B6F3FDD4784956C09A99999999593E40,added
0101000020E6100000355EBA490C2256C0E17A14AE47613E40,FAIR HALL,30.380,-88.532,MS,2014,2012 - 2014,0101000020E6100000355EBA490C2256C0E17A14AE47613E40,added
0101000020E6100000AAF1D24D625856C06F1283C0CA613E40,DIAMONDHEAD WEST,30.382,-89.381,MS,2014,2012 - 2014,0101000020E6100000AAF1D24D625856C06F1283C0CA613E40,added
0101000020E6100000A8C64B37892156C02DB29DEFA7663E40,SUE ELLEN RECREATIONAL CENTER,30.401,-88.524,MS,2014,2012 - 2014,0101000020E6100000A8C64B37892156C02DB29DEFA7663E40,added
0101000020E6100000A245B6F3FD1C56C05A643BDF4F6D3E40,ORANGE GROVE COMMUNITY CENTER,30.427,-88.453,MS,2014,2012 - 2014,0101000020E6100000A245B6F3FD1C56C05A643BDF4F6D3E40,added
0101000020E6100000CDCCCCCCCC3C56C037894160E5703E40,PENTACOSTALS- THE GULF COAST,30.441,-88.950,MS,2014,2012 - 2014,0101000020E6100000CDCCCCCCCC3C56C037894160E5703E40,added
0101000020E61000005A643BDF4F4556C0FA7E6ABC74733E40,ORANGE GROVE COMMUNITY,30.451,-89.083,MS,2014,2012 - 2014,0101000020E61000005A643BDF4F4556C0FA7E6ABC74733E40,added
0101000020E61000006DE7FBA9F12256C00C022B8716D93E40,AGRICOLA EMERGENCY SHELTER,30.848,-88.546,MS,2014,2012 - 2014,0101000020E61000006DE7FBA9F12256C00C022B8716D93E40,added
0101000020E6100000508D976E123356C0736891ED7CDF3E40,BENNDALE EMERGENCY SHELTER,30.873,-88.798,MS,2014,2012 - 2014,0101000020E6100000508D976E123356C0736891ED7CDF3E40,added
0101000020E6100000931804560E4D56C039B4C876BEDF3E40,NEW HOPE RD FEMA BUILDING,30.874,-89.204,MS,2014,2012 - 2014,0101000020E6100000931804560E4D56C039B4C876BEDF3E40,added
0101000020E6100000D34D6210582156C0A69BC420B0F23E40,ROCKY CREEK FIRE DEPARTMENT,30.948,-88.521,MS,2014,2012 - 2014,0101000020E6100000D34D6210582156C0A69BC420B0F23E40,added
0101000020E6100000EE7C3F355E3256C039B4C876BEFF3E40,SALEM FIRE DEPARTMENT,30.999,-88.787,MS,2014,2012 - 2014,0101000020E6100000EE7C3F355E3256C039B4C876BEFF3E40,added
0101000020E6100000FED478E926B956C0CBA145B6F31D3F40,BERWICK/JERUSALEM BAPTIST CHURCH,31.117,-90.893,MS,2014,2012 - 2014,0101000020E6100000FED478E926B956C0CBA145B6F31D3F40,added
0101000020E610000085EB51B81E9D56C0DD24068195233F40,BRASWELL EDUCATION,31.139,-90.455,MS,2014,2012 - 2014,0101000020E610000085EB51B81E9D56C0DD24068195233F40,added
0101000020E6100000C976BE9F1A2F56C0D122DBF97E2A3F40,WASHINGTON-NEELY COMMUNITY CENTER,31.166,-88.736,MS,2014,2012 - 2014,0101000020E6100000C976BE9F1A2F56C0D122DBF97E2A3F40,added
0101000020E6100000C1CAA145B69356C08716D9CEF7333F40,HOLMESVILLE COMM.,31.203,-90.308,MS,2014,2012 - 2014,0101000020E6100000C1CAA145B69356C08716D9CEF7333F40,added
0101000020E61000004C378941609D56C0643BDF4F8D373F40,UNITY MISSIONARY BAPTIST CHURCH,31.217,-90.459,MS,2014,2012 - 2014,0101000020E61000004C378941609D56C0643BDF4F8D373F40,added
0101000020E61000001B2FDD2406C156C04260E5D0223B3F40,GLOSTER TRANSFER/COMPACTOR,31.231,-91.016,MS,2014,2012 - 2014,0101000020E61000001B2FDD2406C156C04260E5D0223B3F40,added
0101000020E6100000931804560E9D56C0CFF753E3A53B3F40,S MCCOMB BAPTIST CHURCH,31.233,-90.454,MS,2014,2012 - 2014,0101000020E6100000931804560E9D56C0CFF753E3A53B3F40,added
0101000020E6100000E3A59BC4207856C0E9263108AC3C3F40,FOXWORTH,31.237,-89.877,MS,2014,2012 - 2014,0101000020E6100000E3A59BC4207856C0E9263108AC3C3F40,added
0101000020E61000003D0AD7A3707556C0C74B378941403F40,SOUTH COLUMBIA,31.251,-89.835,MS,2014,2012 - 2014,0101000020E61000003D0AD7A3707556C0C74B378941403F40,added
0101000020E6100000DD240681957356C0C3F5285C8F423F40,NATIONAL GUARD ARMORY,31.260,-89.806,MS,2014,2012 - 2014,0101000020E6100000DD240681957356C0C3F5285C8F423F40,added
0101000020E6100000B0726891ED7456C0894160E5D0423F40,JEFFERSON MIDDLE SCHOOL,31.261,-89.827,MS,2014,2012 - 2014,0101000020E6100000B0726891ED7456C0894160E5D0423F40,added
0101000020E6100000FA7E6ABC744B56C06666666666463F40,SHEEPLO,31.275,-89.179,MS,2014,2012 - 2014,0101000020E6100000FA7E6ABC744B56C06666666666463F40,added
0101000020E61000003D0AD7A3705556C0F0A7C64B37493F40,RICHBURG,31.286,-89.335,MS,2014,2012 - 2014,0101000020E61000003D0AD7A3705556C0F0A7C64B37493F40,added
0101000020E61000004A0C022B873E56C01904560E2D523F40,MIRACLE TEMPLE COGIC,31.321,-88.977,MS,2014,2012 - 2014,0101000020E61000004A0C022B873E56C01904560E2D523F40,added
0101000020E610000017D9CEF7535356C0A69BC420B0523F40,CAMP SCHOOL,31.323,-89.302,MS,2014,2012 - 2014,0101000020E610000017D9CEF7535356C0A69BC420B0523F40,added
0101000020E6100000A8C64B37895956C0F2D24D6210583F40,"79 JACKSON RD,COMM CENTER",31.344,-89.399,MS,2014,2012 - 2014,0101000020E6100000A8C64B37895956C0F2D24D6210583F40,added
0101000020E61000000000000000C056C096438B6CE75B3F40,VOTING BLDG-WESLEY CHAPEL,31.359,-91.000,MS,2014,2012 - 2014,0101000020E61000000000000000C056C096438B6CE75B3F40,added
