localityid,geoid,name,x,y,stfp,cntyfp,tractfp
0009d49c-3c86-4f72-80cb-d01de65327c9,1400000US28069030100,"Census Tract 301, Kemper County, Mississippi",-88.472,32.831,28,069,28069030100
001c2c50-9b5f-4c82-ae34-995d5abf8244,1400000US28111950101,"Census Tract 9501.01, Perry County, Mississippi",-88.939,31.351,28,111,28111950101
0031420c-b939-44dc-97c9-27a61c82f7e4,1400000US28137950301,"Census Tract 9503.01, Tate County, Mississippi",-90.185,34.659,28,137,28137950301
00403cda-378d-4105-a0af-877790173ae9,1400000US28049011500,"Census Tract 115, Hinds County, Mississippi",-90.206,32.292,28,049,28049011500
005c6a08-e33b-4a82-a8a8-078c4342c8e2,1400000US28145950400,"Census Tract 9504, Union County, Mississippi",-88.999,34.494,28,145,28145950400
008102bc-b903-439f-b718-b1f27c467177,1400000US28005950200,"Census Tract 9502, Amite County, Mississippi",-90.818,31.159,28,005,28005950200
008102bc-b903-439f-b718-b1f27c467177,1400000US28005950300,"Census Tract 9503, Amite County, Mississippi",-90.818,31.159,28,005,28005950300
00b89c30-96a2-4e1a-81f6-d67637054411,1400000US28101050400,"Census Tract 504, Newton County, Mississippi",-88.929,32.326,28,101,28101050400
00c7af86-1ffa-46a3-9368-51b794ee763e,1400000US28089030101,"Census Tract 301.01, Madison County, Mississippi",-90.136,32.429,28,089,28089030101
00c7af86-1ffa-46a3-9368-51b794ee763e,1400000US28089030109,"Census Tract 301.09, Madison County, Mississippi",-90.136,32.429,28,089,28089030109
00d3909d-5ee5-40a2-8741-db51d1eced56,1400000US28087000500,"Census Tract 5, Lowndes County, Mississippi",-88.377,33.497,28,087,28087000500
00d46950-608b-42ee-8f1a-dafa27e9a4ce,1400000US28001000700,"Census Tract 7, Adams County, Mississippi",-91.397,31.563,28,001,28001000700
00d67538-320b-463c-9e1e-3b5efd2989d4,1400000US28109950700,"Census Tract 9507, Pearl River County, Mississippi",-89.665,30.521,28,109,28109950700
00ef61d9-402c-4787-afdf-433eb09c698c,1400000US28107950600,"Census Tract 9506, Panola County, Mississippi",-89.958,34.320,28,107,28107950600
00ef61d9-402c-4787-afdf-433eb09c698c,1400000US28107950602,"Census Tract 9506.02, Panola County, Mississippi",-89.958,34.320,28,107,28107950602
0114f970-e0fa-44e4-9ab8-431bd8d19a36,1400000US28065950100,"Census Tract 9501, Jefferson Davis County, Mississippi",-89.896,31.702,28,065,28065950100
0114f970-e0fa-44e4-9ab8-431bd8d19a36,1400000US28065950101,"Census Tract 9501.01, Jefferson Davis County, Mississippi",-89.896,31.702,28,065,28065950101
0123a8ea-64c9-4e7c-a0fb-24ab517c433d,1400000US28083950300,"Census Tract 9503, Leflore County, Mississippi",-90.320,33.492,28,083,28083950300
0131009a-a9c5-4470-8870-a858ceaacf70,1400000US28149950902,"Census Tract 9509.02, Warren County, Mississippi",-90.739,32.352,28,149,28149950902
0133ee5b-c14f-4c26-a930-79cb28f96bf6,1400000US28033071000,"Census Tract 710, DeSoto County, Mississippi",-89.970,34.845,28,033,28033071000
0170c2bb-d515-45fd-a72b-af034f4bc3d5,1400000US28115950102,"Census Tract 9501.02, Pontotoc County, Mississippi",-89.023,34.353,28,115,28115950102
01a9af1a-76c8-475f-9356-5793c3621611,1400000US28077960300,"Census Tract 9603, Lawrence County, Mississippi",-90.207,31.364,28,077,28077960300
01bde342-8e82-44bf-b742-9ae397dc1461,1400000US28049010202,"Census Tract 102.02, Hinds County, Mississippi",-90.183,32.370,28,049,28049010202
01d48534-54eb-4c64-bad2-78d91196ad6c,1400000US28025950400,"Census Tract 9504, Clay County, Mississippi",-88.644,33.597,28,025,28025950400
01d9bb31-a824-41b4-aefd-3f1a06d6a1b4,1400000US28023950300,"Census Tract 9503, Clarke County, Mississippi",-88.713,31.938,28,023,28023950300
0229d45f-3367-4548-9e00-1566efe5067d,1400000US28097950300,"Census Tract 9503, Montgomery County, Mississippi",-89.740,33.492,28,097,28097950300
0229d45f-3367-4548-9e00-1566efe5067d,1400000US28097950301,"Census Tract 9503.01, Montgomery County, Mississippi",-89.740,33.492,28,097,28097950301
024a5168-17e5-4603-a497-09bc49c2bdc0,1400000US28085950300,"Census Tract 9503, Lincoln County, Mississippi",-90.410,31.568,28,085,28085950300
024a5168-17e5-4603-a497-09bc49c2bdc0,1400000US28085950301,"Census Tract 9503.01, Lincoln County, Mississippi",-90.410,31.568,28,085,28085950301
