"location_name_clean","r3latitude","r3longitude","state","change_year","geom","change_type"
" NORTH HOPE CENTER","33.942","-80.344","SC","2012","0101000020E61000001ED72BD1FE1554C0814E52AA8EF84040",NULL
"# 15 ST. WILLIAMS CATHOLIC CHURCH","33.923","-81.707","SC","2012","0101000020E6100000FBCE8A03436D54C04215EDE016F64040",NULL
"# 19 COMMUNITY CENTER (19)","34.019","-81.648","SC","2012","0101000020E61000000DB1B096716954C04C265DE96B024140",NULL
"# 20 MINE CREEK BAPTIST CHURCH","33.809","-81.799","SC","2012","0101000020E61000002DB29DEF277354C0A605D44098E74040",NULL
"# 5 COMMUNITY CENTER","34.035","-81.890","SC","2012","0101000020E61000000162B774F17854C0959F54FB74044140",NULL
"# 6 BETHEL IGLESIA CONGREGACIONAL CHURCH","34.082","-81.760","SC","2012","0101000020E61000002FC44549A37054C030E01BF9720A4140",NULL
"# 8 HOLLYWOOD RURITAN CLUB BL","34.088","-81.668","SC","2012","0101000020E61000005A5BC2EBC46A54C095BE6B2B510B4140",NULL
"1ST   BAPTIST CHURCH VAUCLUSE","33.613","-81.808","SC","2012","0101000020E61000002CE3F093B47354C08F615FFC7ECE4040",NULL
"1ST BAPTIST CHURCH BELVEDER","33.534","-81.943","SC","2012","0101000020E610000090F63FC05A7C54C0AE3DFDB15AC44040",NULL
"1ST BAPTIST CHURCH GYMNASIUM","33.689","-78.888","SC","2012","0101000020E6100000B651F8C7D6B853C0293E3E213BD84040",NULL
"1ST BAPTIST CHURCH WARRENVILLE","33.552","-81.804","SC","2012","0101000020E61000006EB191DA7A7354C0CDA0EB0C9DC64040",NULL
"21ST AVE COUNTY COMPLEX","33.708","-78.881","SC","2012","0101000020E6100000A5F8533E5FB853C0F47D82D5A2DA4040",NULL
"A C CORCORAN ELEMENTARY SCHOOL","32.960","-80.060","SC","2012","0101000020E6100000E531B907D70354C09D43BEF0EF7A4040",NULL
"A C MOORE ELEMENTARY","33.987","-81.010","SC","2012","0101000020E6100000EE02CA4BA34054C0983270404BFE4040",NULL
