"state","census_tract","year","polling_locations_total","polling_locations_removed_since_last_general","polling_locations_added_since_last_general","est_total_population","population_density","percentage_race_white","percentage_race_black_african_american"
"SC","Census Tract 9501",2012,3,NULL,NULL,3271,68,"0.914","0.079"
"SC","Census Tract 9502",2012,2,NULL,NULL,4332,59,"0.72","0.258"
"SC","Census Tract 9503",2012,2,NULL,NULL,3184,33,"0.916","0.077"
"SC","Census Tract 9504",2012,3,NULL,NULL,6031,78,"0.717","0.267"
"SC","Census Tract 9505",2012,3,NULL,NULL,5473,50,"0.531","0.43"
"SC","Census Tract 9506",2012,1,NULL,NULL,3096,36,"0.485","0.505"
"SC","Census Tract 201",2012,4,NULL,NULL,4882,36,"0.698","0.245"
"SC","Census Tract 202",2012,2,NULL,NULL,5781,60,"0.739","0.203"
"SC","Census Tract 203.01",2012,1,NULL,NULL,2237,61,"0.723","0.154"
"SC","Census Tract 203.02",2012,4,NULL,NULL,4958,189,"0.478","0.507"
"SC","Census Tract 204",2012,2,NULL,NULL,5329,294,"0.707","0.253"
"SC","Census Tract 205",2012,3,NULL,NULL,7215,543,"0.861","0.117"
"SC","Census Tract 206.01",2012,1,NULL,NULL,3465,356,"0.756","0.218"
"SC","Census Tract 206.02",2012,3,NULL,NULL,6929,1421,"0.566","0.299"
"SC","Census Tract 207.01",2012,3,NULL,NULL,6459,1613,"0.719","0.24"
"SC","Census Tract 207.02",2012,2,NULL,NULL,4335,1525,"0.479","0.358"
"SC","Census Tract 208.01",2012,1,NULL,NULL,2584,910,"0.986","0.014"
"SC","Census Tract 208.02",2012,4,NULL,NULL,4901,1677,"0.77","0.161"
"SC","Census Tract 209.01",2012,NULL,NULL,NULL,2503,80,"0.655","0.271"
"SC","Census Tract 209.02",2012,3,NULL,NULL,6318,175,"0.66","0.333"
"SC","Census Tract 210.01",2012,1,NULL,NULL,4830,501,"0.718","0.182"
"SC","Census Tract 210.02",2012,3,NULL,NULL,5802,864,"0.771","0.119"
"SC","Census Tract 211.01",2012,1,NULL,NULL,2593,490,"0.858","0.11"
"SC","Census Tract 211.02",2012,2,NULL,NULL,4145,771,"0.788","0.167"
"SC","Census Tract 212.01",2012,NULL,NULL,NULL,5456,818,"0.914","0.053"
"SC","Census Tract 212.02",2012,1,NULL,NULL,3828,621,"0.912","0.046"
"SC","Census Tract 212.03",2012,2,NULL,NULL,8100,770,"0.834","0.119"
"SC","Census Tract 213",2012,1,NULL,NULL,5193,1203,"0.782","0.169"
"SC","Census Tract 214",2012,4,NULL,NULL,5353,1405,"0.142","0.814"
"SC","Census Tract 215",2012,1,NULL,NULL,5333,1589,"0.649","0.341"
"SC","Census Tract 216.01",2012,2,NULL,NULL,5949,327,"0.432","0.546"
"SC","Census Tract 216.02",2012,5,NULL,NULL,8230,590,"0.719","0.231"
"SC","Census Tract 217",2012,2,NULL,NULL,4102,37,"0.705","0.269"
"SC","Census Tract 218",2012,2,NULL,NULL,2873,33,"0.491","0.492"
"SC","Census Tract 219",2012,2,NULL,NULL,6461,55,"0.698","0.158"
"SC","Census Tract 220.01",2012,2,NULL,NULL,4230,130,"0.75","0.186"
"SC","Census Tract 220.02",2012,3,NULL,NULL,6525,135,"0.735","0.244"
"SC","Census Tract 221",2012,1,NULL,NULL,3270,71,"0.707","0.26"
"SC","Census Tract 9801",2012,NULL,NULL,NULL,0,0,"0","0"
"SC","Census Tract 9702",2012,5,NULL,NULL,5581,28,"0.19","0.77"
"SC","Census Tract 9703",2012,2,NULL,NULL,903,11,"0.746","0.251"
"SC","Census Tract 9704",2012,2,NULL,NULL,3915,31,"0.19","0.803"
"SC","Census Tract 2",2012,1,NULL,NULL,4509,2356,"0.783","0.194"
"SC","Census Tract 3",2012,2,NULL,NULL,4976,2182,"0.751","0.183"
"SC","Census Tract 5",2012,1,NULL,NULL,2769,904,"0.34","0.622"
"SC","Census Tract 6",2012,2,NULL,NULL,3291,1444,"0.27","0.674"
"SC","Census Tract 7",2012,2,NULL,NULL,4615,1551,"0.331","0.616"
"SC","Census Tract 8",2012,NULL,NULL,NULL,2271,1277,"0.718","0.266"
"SC","Census Tract 9",2012,2,NULL,NULL,2730,1871,"0.657","0.323"
"SC","Census Tract 10",2012,1,NULL,NULL,2738,1225,"0.786","0.136"
"SC","Census Tract 11",2012,1,NULL,NULL,5157,1394,"0.772","0.185"
"SC","Census Tract 101.02",2012,1,NULL,NULL,6458,385,"0.952","0.031"
"SC","Census Tract 101.03",2012,3,NULL,NULL,7044,591,"0.91","0.049"
"SC","Census Tract 101.04",2012,2,NULL,NULL,8098,287,"0.933","0.061"
"SC","Census Tract 102",2012,2,NULL,NULL,4526,397,"0.983","0.015"
"SC","Census Tract 103",2012,2,NULL,NULL,4303,489,"0.915","0.056"
"SC","Census Tract 104.01",2012,3,NULL,NULL,6427,694,"0.855","0.085"
"SC","Census Tract 104.02",2012,NULL,NULL,NULL,6063,181,"0.859","0.111"
"SC","Census Tract 105",2012,2,NULL,NULL,5902,162,"0.906","0.073"
"SC","Census Tract 106",2012,3,NULL,NULL,7201,112,"0.905","0.06"
"SC","Census Tract 107",2012,3,NULL,NULL,5223,236,"0.732","0.191"
"SC","Census Tract 108",2012,1,NULL,NULL,5343,240,"0.919","0.071"
"SC","Census Tract 109",2012,3,NULL,NULL,3885,107,"0.939","0.033"
"SC","Census Tract 110.01",2012,NULL,NULL,NULL,4747,432,"0.945","0.041"
"SC","Census Tract 110.02",2012,NULL,NULL,NULL,3988,665,"0.797","0.118"
"SC","Census Tract 111",2012,2,NULL,NULL,2791,803,"0.787","0.113"
