"state","county","year","polling_locations_total","polling_locations_removed_since_last_general","polling_locations_added_since_last_general","est_total_population","registered_voters_total","population_density","percentage_race_white","percentage_race_black_african_american"
"SC","Abbeville County",2012,14,NULL,NULL,25387,14384,52,"0.7","0.281"
"SC","Aiken County",2012,68,NULL,NULL,160169,102274,150,"0.697","0.249"
"SC","Allendale County",2012,9,NULL,NULL,10399,5793,25,"0.238","0.737"
"SC","Anderson County",2012,76,NULL,NULL,187228,108008,262,"0.807","0.16"
"SC","Bamberg County",2012,12,NULL,NULL,15941,9632,41,"0.36","0.628"
"SC","Barnwell County",2012,10,NULL,NULL,22523,14115,41,"0.528","0.451"
"SC","Beaufort County",2012,60,NULL,NULL,162316,106882,282,"0.735","0.192"
"SC","Berkeley County",2012,44,NULL,NULL,179773,103826,164,"0.676","0.252"
"SC","Calhoun County",2012,12,NULL,NULL,15134,10337,40,"0.551","0.425"
"SC","Charleston County",2012,106,NULL,NULL,352548,243851,385,"0.658","0.299"
"SC","Cherokee County",2012,30,NULL,NULL,55351,31560,141,"0.765","0.201"
"SC","Chester County",2012,20,NULL,NULL,33028,20345,57,"0.597","0.379"
"SC","Chesterfield County",2012,23,NULL,NULL,46462,24360,58,"0.646","0.327"
"SC","Clarendon County",2012,25,NULL,NULL,34746,22982,57,"0.475","0.5"
"SC","Colleton County",2012,27,NULL,NULL,38665,23870,37,"0.578","0.399"
"SC","Darlington County",2012,33,NULL,NULL,68500,42020,122,"0.565","0.413"
"SC","Dillon County",2012,21,NULL,NULL,31733,19865,78,"0.478","0.47"
"SC","Dorchester County",2012,38,NULL,NULL,136836,87381,239,"0.689","0.252"
"SC","Edgefield County",2012,10,NULL,NULL,26763,15924,53,"0.595","0.38"
"SC","Fairfield County",2012,18,NULL,NULL,23804,15615,35,"0.383","0.604"
"SC","Florence County",2012,63,NULL,NULL,136714,83379,171,"0.556","0.412"
"SC","Georgetown County",2012,32,NULL,NULL,60285,41094,74,"0.634","0.339"
"SC","Greenville County",2012,150,NULL,NULL,452931,286438,577,"0.765","0.18"
"SC","Greenwood County",2012,44,NULL,NULL,69531,40304,153,"0.633","0.304"
"SC","Hampton County",2012,15,NULL,NULL,20987,12831,37,"0.426","0.538"
"SC","Horry County",2012,117,NULL,NULL,270943,170713,239,"0.797","0.136"
"SC","Jasper County",2012,14,NULL,NULL,24792,14455,38,"0.424","0.451"
"SC","Kershaw County",2012,33,NULL,NULL,61583,39122,85,"0.718","0.253"
"SC","Lancaster County",2012,30,NULL,NULL,76364,47443,139,"0.73","0.24"
"SC","Laurens County",2012,35,NULL,NULL,66623,36903,93,"0.715","0.25"
"SC","Lee County",2012,22,NULL,NULL,19160,12090,47,"0.33","0.644"
"SC","Lexington County",2012,91,NULL,NULL,262424,162566,375,"0.81","0.144"
"SC","McCormick County",2012,10,NULL,NULL,10140,6682,28,"0.488","0.488"
"SC","Marion County",2012,16,NULL,NULL,33038,21652,68,"0.41","0.566"
"SC","Marlboro County",2012,15,NULL,NULL,28750,17658,60,"0.414","0.507"
"SC","Newberry County",2012,29,NULL,NULL,37432,22430,59,"0.619","0.295"
"SC","Oconee County",2012,26,NULL,NULL,74038,45472,118,"0.89","0.075"
"SC","Orangeburg County",2012,44,NULL,NULL,92229,60523,83,"0.345","0.624"
"SC","Pickens County",2012,54,NULL,NULL,119167,64107,240,"0.887","0.064"
"SC","Richland County",2012,121,NULL,NULL,384596,244721,508,"0.475","0.458"
"SC","Saluda County",2012,14,NULL,NULL,19758,11319,44,"0.643","0.27"
"SC","Spartanburg County",2012,97,NULL,NULL,284540,160319,352,"0.734","0.206"
"SC","Sumter County",2012,44,NULL,NULL,107279,67267,161,"0.49","0.466"
"SC","Union County",2012,23,NULL,NULL,28804,17281,56,"0.667","0.308"
"SC","Williamsburg County",2012,28,NULL,NULL,34361,21989,37,"0.316","0.664"
"SC","York County",2012,85,NULL,NULL,226576,143339,333,"0.76","0.187"
"SC","Abbeville County",2014,14,0,0,25100,14570,51,"0.694","0.288"
"SC","Aiken County",2014,68,1,1,162991,102481,152,"0.701","0.249"
"SC","Allendale County",2014,9,0,0,10027,5802,25,"0.243","0.739"
"SC","Anderson County",2014,80,1,5,189763,106899,265,"0.802","0.164"
"SC","Bamberg County",2014,12,0,0,15649,9593,40,"0.359","0.624"
"SC","Barnwell County",2014,10,0,0,22287,13276,41,"0.519","0.448"
"SC","Beaufort County",2014,56,12,8,168453,110042,292,"0.731","0.187"
"SC","Berkeley County",2014,47,2,5,188835,104441,172,"0.674","0.248"
"SC","Calhoun County",2014,12,0,0,15031,10274,39,"0.541","0.423"
"SC","Charleston County",2014,104,11,9,365674,252881,399,"0.667","0.289"
"SC","Cherokee County",2014,30,0,0,55707,30707,142,"0.759","0.2"
