changeyear,cntyfp,baseyear,lastgeyear,changenopolls,nopollsadded,nopollsremoved,norvby,popdensityby,changenorv,changenorvpernopoll,state
2012 - 2014,45001,2014,2012,0,0,0,14570.0,51,186.0,0.0,SC
2014 - 2016,45001,2016,2014,0,0,0,15351.0,51,781.0,0.0,SC
2016 - 2018,45001,2018,2016,1,1,0,15146.0,50,-205.0,205.0,SC
2018 - 2020,45001,2020,2018,2,1,1,16575.0,50,1429.0,714.0,SC
2020 - 2022,45001,2022,2020,0,0,0,15982.0,50,-593.0,0.0,SC
2012 - 2014,45003,2014,2012,2,1,1,102481.0,152,207.0,103.0,SC
2014 - 2016,45003,2016,2014,9,7,2,110956.0,154,8475.0,941.0,SC
2016 - 2018,45003,2018,2016,15,7,8,110093.0,156,-863.0,57.0,SC
2018 - 2020,45003,2020,2018,27,14,13,122919.0,159,12826.0,475.0,SC
2020 - 2022,45003,2022,2020,8,3,5,116055.0,157,-6864.0,858.0,SC
2012 - 2014,45005,2014,2012,0,0,0,5802.0,25,9.0,0.0,SC
2014 - 2016,45005,2016,2014,1,0,1,6035.0,23,233.0,233.0,SC
2016 - 2018,45005,2018,2016,0,0,0,5825.0,23,-210.0,0.0,SC
2018 - 2020,45005,2020,2018,1,1,0,5881.0,22,56.0,56.0,SC
2020 - 2022,45005,2022,2020,4,1,3,5124.0,20,-757.0,189.0,SC
2012 - 2014,45007,2014,2012,6,5,1,106899.0,265,-1109.0,184.0,SC
2014 - 2016,45007,2016,2014,3,1,2,118564.0,269,11665.0,3888.0,SC
2016 - 2018,45007,2018,2016,0,0,0,117163.0,275,-1401.0,0.0,SC
2018 - 2020,45007,2020,2018,37,17,20,130040.0,280,12877.0,348.0,SC
2020 - 2022,45007,2022,2020,7,4,3,125932.0,283,-4108.0,586.0,SC
2012 - 2014,45009,2014,2012,0,0,0,9593.0,40,-39.0,0.0,SC
2014 - 2016,45009,2016,2014,0,0,0,9688.0,38,95.0,0.0,SC
2016 - 2018,45009,2018,2016,0,0,0,9282.0,37,-406.0,0.0,SC
2018 - 2020,45009,2020,2018,1,1,0,9606.0,36,324.0,324.0,SC
2020 - 2022,45009,2022,2020,0,0,0,8448.0,34,-1158.0,0.0,SC
2012 - 2014,45011,2014,2012,0,0,0,13276.0,41,-839.0,0.0,SC
2014 - 2016,45011,2016,2014,2,0,2,13797.0,40,521.0,260.0,SC
2016 - 2018,45011,2018,2016,0,0,0,13379.0,39,-418.0,0.0,SC
2018 - 2020,45011,2020,2018,5,3,2,14235.0,39,856.0,171.0,SC
2020 - 2022,45011,2022,2020,0,0,0,13514.0,38,-721.0,0.0,SC
2012 - 2014,45013,2014,2012,20,8,12,110042.0,292,3160.0,158.0,SC
2014 - 2016,45013,2016,2014,10,5,5,111976.0,304,1934.0,193.0,SC
2016 - 2018,45013,2018,2016,8,4,4,121600.0,317,9624.0,1203.0,SC
2018 - 2020,45013,2020,2018,15,7,8,138735.0,329,17135.0,1142.0,SC
2020 - 2022,45013,2022,2020,25,14,11,138812.0,323,77.0,3.0,SC
2012 - 2014,45015,2014,2012,7,5,2,104441.0,172,615.0,87.0,SC
