pollid,pollname,x,y,changeyear,baseyear,changestatus,state
000b5efd-553e-4ca9-9c53-90968ea7b3c6,RUHAMAH UNITED METH CHURCH,-82.814,34.393,2012 - 2014,2014,no_change,SC
000b5efd-553e-4ca9-9c53-90968ea7b3c6,RUHAMAH UNITED METH CHURCH,-82.814,34.393,2014 - 2016,2016,no_change,SC
000b5efd-553e-4ca9-9c53-90968ea7b3c6,RUHAMAH UNITED METH CHURCH,-82.814,34.393,2016 - 2018,2018,no_change,SC
000b5efd-553e-4ca9-9c53-90968ea7b3c6,RUHAMAH UNITED METH CHURCH,-82.814,34.393,2018 - 2020,2020,removed,SC
0015bff5-f100-4234-956b-3cf95d7ee2cf,GRACE BAPTIST CHURCH,-82.687,34.402,2018 - 2020,2020,added,SC
0015bff5-f100-4234-956b-3cf95d7ee2cf,GRACE BAPTIST CHURCH,-82.687,34.402,2020 - 2022,2022,no_change,SC
0021ebd7-2560-42d8-8d58-a8dd2809be8b,LESSIE B PRICE AIKEN SENIOR & YOUTH CENTER,-81.729,33.568,2018 - 2020,2020,added,SC
0021ebd7-2560-42d8-8d58-a8dd2809be8b,LESSIE B PRICE AIKEN SENIOR & YOUTH CENTER,-81.729,33.568,2020 - 2022,2022,no_change,SC
0026b5ff-2439-4660-9278-26951215f568,MARY SENN HAMER BUILDING,-79.592,34.64,2012 - 2014,2014,no_change,SC
0026b5ff-2439-4660-9278-26951215f568,MARY SENN HAMER BUILDING,-79.592,34.64,2014 - 2016,2016,no_change,SC
0026b5ff-2439-4660-9278-26951215f568,MARY SENN HAMER BUILDING,-79.592,34.64,2016 - 2018,2018,no_change,SC
0026b5ff-2439-4660-9278-26951215f568,MARY SENN HAMER BUILDING,-79.592,34.64,2018 - 2020,2020,no_change,SC
0026b5ff-2439-4660-9278-26951215f568,MARY SENN HAMER BUILDING,-79.592,34.64,2020 - 2022,2022,no_change,SC
0029bde9-8435-4f64-939f-264eecdbabfb,AIKEN HIGH SCHOOL,-81.719,33.58,2012 - 2014,2014,no_change,SC
0029bde9-8435-4f64-939f-264eecdbabfb,AIKEN HIGH SCHOOL,-81.719,33.58,2014 - 2016,2016,no_change,SC
0029bde9-8435-4f64-939f-264eecdbabfb,AIKEN HIGH SCHOOL,-81.719,33.58,2016 - 2018,2018,no_change,SC
0029bde9-8435-4f64-939f-264eecdbabfb,AIKEN HIGH SCHOOL,-81.719,33.58,2018 - 2020,2020,removed,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,PLEASANT HILL METH. CH.,-80.862,35.002,2012 - 2014,2014,no_change,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,PLEASANT HILL METH. CH.,-80.862,35.002,2014 - 2016,2016,no_change,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,PLEASANT HILL METH. CH.,-80.862,35.002,2016 - 2018,2018,no_change,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,PLEASANT HILL METH. CH.,-80.862,35.002,2018 - 2020,2020,no_change,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,PLEASANT HILL METH. CH.,-80.862,35.002,2020 - 2022,2022,no_change,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,TIRZAH PRESBYTERIAN CHURCH,-81.143,34.994,2012 - 2014,2014,no_change,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,TIRZAH PRESBYTERIAN CHURCH,-81.143,34.994,2014 - 2016,2016,no_change,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,TIRZAH PRESBYTERIAN CHURCH,-81.143,34.994,2016 - 2018,2018,no_change,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,TIRZAH PRESBYTERIAN CHURCH,-81.143,34.994,2018 - 2020,2020,no_change,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,TIRZAH PRESBYTERIAN CHURCH,-81.143,34.994,2020 - 2022,2022,no_change,SC
0053b1d6-b63f-4e09-85b5-cd785207d3b3,MONTMORENCI FIRST BAPTIST CHURCH,-81.634,33.524,2012 - 2014,2014,no_change,SC
0053b1d6-b63f-4e09-85b5-cd785207d3b3,MONTMORENCI FIRST BAPTIST CHURCH,-81.634,33.524,2014 - 2016,2016,no_change,SC
0053b1d6-b63f-4e09-85b5-cd785207d3b3,MONTMORENCI FIRST BAPTIST CHURCH,-81.634,33.524,2016 - 2018,2018,no_change,SC
0053b1d6-b63f-4e09-85b5-cd785207d3b3,MONTMORENCI FIRST BAPTIST CHURCH,-81.634,33.524,2018 - 2020,2020,no_change,SC
0053b1d6-b63f-4e09-85b5-cd785207d3b3,MONTMORENCI FIRST BAPTIST CHURCH,-81.634,33.524,2020 - 2022,2022,no_change,SC
00862cbb-740c-4548-a887-60d2cd44e3d9,CAINHOY SCHOOL,-79.852,33.019,2012 - 2014,2014,no_change,SC
00862cbb-740c-4548-a887-60d2cd44e3d9,CAINHOY SCHOOL,-79.852,33.019,2014 - 2016,2016,no_change,SC
00862cbb-740c-4548-a887-60d2cd44e3d9,CAINHOY SCHOOL,-79.852,33.019,2016 - 2018,2018,no_change,SC
00862cbb-740c-4548-a887-60d2cd44e3d9,CAINHOY SCHOOL,-79.852,33.019,2018 - 2020,2020,no_change,SC
00862cbb-740c-4548-a887-60d2cd44e3d9,CAINHOY SCHOOL,-79.852,33.019,2020 - 2022,2022,no_change,SC
012edd4a-db2b-475c-b730-d5b7a626b84b,FORRESTER WOODS CLUBHOUSE,-82.3,34.799,2012 - 2014,2014,no_change,SC
012edd4a-db2b-475c-b730-d5b7a626b84b,FORRESTER WOODS CLUBHOUSE,-82.3,34.799,2014 - 2016,2016,no_change,SC
012edd4a-db2b-475c-b730-d5b7a626b84b,FORRESTER WOODS CLUBHOUSE,-82.3,34.799,2016 - 2018,2018,no_change,SC
012edd4a-db2b-475c-b730-d5b7a626b84b,FORRESTER WOODS CLUBHOUSE,-82.3,34.799,2018 - 2020,2020,no_change,SC
012edd4a-db2b-475c-b730-d5b7a626b84b,FORRESTER WOODS CLUBHOUSE,-82.3,34.799,2020 - 2022,2022,no_change,SC
013993bc-2432-4391-a507-5365795bf36d,FIRE & RESCUE STATION #7,-80.812,33.083,2012 - 2014,2014,no_change,SC
013993bc-2432-4391-a507-5365795bf36d,FIRE & RESCUE STATION #7,-80.812,33.083,2014 - 2016,2016,no_change,SC
013993bc-2432-4391-a507-5365795bf36d,FIRE & RESCUE STATION #7,-80.812,33.083,2016 - 2018,2018,no_change,SC
013993bc-2432-4391-a507-5365795bf36d,FIRE & RESCUE STATION #7,-80.812,33.083,2018 - 2020,2020,no_change,SC
