pollid,pollname,x,y,stfp,cntyfp,tractfp,state
000b5efd-553e-4ca9-9c53-90968ea7b3c6,"Census Tract 122, Anderson County, South Carolina",-82.814,34.393,45,7,45007012200,SC
0015bff5-f100-4234-956b-3cf95d7ee2cf,"Census Tract 118, Anderson County, South Carolina",-82.687,34.402,45,7,45007011800,SC
0021ebd7-2560-42d8-8d58-a8dd2809be8b,"Census Tract 214.01, Aiken County, South Carolina",-81.729,33.568,45,3,45003021401,SC
0026b5ff-2439-4660-9278-26951215f568,"Census Tract 9604, Marlboro County, South Carolina",-79.592,34.64,45,69,45069960400,SC
0029bde9-8435-4f64-939f-264eecdbabfb,"Census Tract 214, Aiken County, South Carolina",-81.719,33.58,45,3,45003021400,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,"Census Tract 112.01, Lancaster County, South Carolina",-80.862,35.002,45,57,45057011201,SC
002bcd99-2321-474b-a5d5-4bd8b9791d35,"Census Tract 112.04, Lancaster County, South Carolina",-80.862,35.002,45,57,45057011204,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,"Census Tract 615.02, York County, South Carolina",-81.143,34.994,45,91,45091061502,SC
0031706c-4ab5-4791-b0ad-03f88bd92ff8,"Census Tract 615.06, York County, South Carolina",-81.143,34.994,45,91,45091061506,SC
0053b1d6-b63f-4e09-85b5-cd785207d3b3,"Census Tract 220.01, Aiken County, South Carolina",-81.634,33.524,45,3,45003022001,SC
00862cbb-740c-4548-a887-60d2cd44e3d9,"Census Tract 204.05, Berkeley County, South Carolina",-79.852,33.019,45,15,45015020405,SC
012edd4a-db2b-475c-b730-d5b7a626b84b,"Census Tract 28.11, Greenville County, South Carolina",-82.3,34.799,45,45,45045002811,SC
013993bc-2432-4391-a507-5365795bf36d,"Census Tract 9701, Colleton County, South Carolina",-80.812,33.083,45,29,45029970100,SC
01566161-1143-4b1e-a4e3-852655b6c3b7,"Census Tract 21.01, Charleston County, South Carolina",-80.098,32.725,45,19,45019002101,SC
01566161-1143-4b1e-a4e3-852655b6c3b7,"Census Tract 21.08, Charleston County, South Carolina",-80.098,32.725,45,19,45019002108,SC
01617efd-e047-4ba4-a723-f5120214fafb,"Census Tract 9202.01, Hampton County, South Carolina",-81.078,32.917,45,49,45049920201,SC
01617efd-e047-4ba4-a723-f5120214fafb,"Census Tract 9202, Hampton County, South Carolina",-81.078,32.917,45,49,45049920200,SC
019b8522-5f48-40d4-b182-8afcbc840a82,"Census Tract 213.06, Lexington County, South Carolina",-81.401,33.921,45,63,45063021306,SC
01e1674c-3a45-4197-98ff-9725b86b2b4e,"Census Tract 505, Horry County, South Carolina",-78.865,33.713,45,51,45051050500,SC
01ea7d8d-e4c7-4156-97e6-d5dee800ce7f,"Census Tract 9704.02, Colleton County, South Carolina",-80.658,32.949,45,29,45029970402,SC
01f71439-690f-42a1-a513-de35bd51d664,"Census Tract 617.01, York County, South Carolina",-81.303,35.069,45,91,45091061701,SC
01fbc221-4371-417b-a640-b0cdedb9697f,"Census Tract 9709, Williamsburg County, South Carolina",-79.717,33.485,45,89,45089970900,SC
