changeyear,cntyfp,baseyear,lastgeyear,changenopolls,nopollsadded,nopollsremoved,norvby,popdensityby,changenorv,changenorvpernopoll
2012 - 2014,1,2014,2012,0,0,0,14570,51,186,0
2014 - 2016,1,2016,2014,0,0,0,15351,51,781,0
2016 - 2018,1,2018,2016,1,1,0,15146,50,-205,205
2018 - 2020,1,2020,2018,2,1,1,16575,50,1429,714
2020 - 2022,1,2022,2020,0,0,0,15982,50,-593,0
2012 - 2014,3,2014,2012,2,1,1,102481,152,207,103
2014 - 2016,3,2016,2014,9,7,2,110956,154,8475,941
2016 - 2018,3,2018,2016,15,7,8,110093,156,-863,57
2018 - 2020,3,2020,2018,27,14,13,122919,159,12826,475
2020 - 2022,3,2022,2020,8,3,5,116055,157,-6864,858
2012 - 2014,5,2014,2012,0,0,0,5802,25,9,0
2014 - 2016,5,2016,2014,1,0,1,6035,23,233,233
2016 - 2018,5,2018,2016,0,0,0,5825,23,-210,0
2018 - 2020,5,2020,2018,1,1,0,5881,22,56,56
2020 - 2022,5,2022,2020,4,1,3,5124,20,-757,189
2012 - 2014,7,2014,2012,6,5,1,106899,265,-1109,184
2014 - 2016,7,2016,2014,3,1,2,118564,269,11665,3888
2016 - 2018,7,2018,2016,0,0,0,117163,275,-1401,0
2018 - 2020,7,2020,2018,37,17,20,130040,280,12877,348
2020 - 2022,7,2022,2020,7,4,3,125932,283,-4108,586
2012 - 2014,9,2014,2012,0,0,0,9593,40,-39,0
2014 - 2016,9,2016,2014,0,0,0,9688,38,95,0
2016 - 2018,9,2018,2016,0,0,0,9282,37,-406,0
2018 - 2020,9,2020,2018,1,1,0,9606,36,324,324
2020 - 2022,9,2022,2020,0,0,0,8448,34,-1158,0
2012 - 2014,11,2014,2012,0,0,0,13276,41,-839,0
2014 - 2016,11,2016,2014,2,0,2,13797,40,521,260
2016 - 2018,11,2018,2016,0,0,0,13379,39,-418,0
2018 - 2020,11,2020,2018,5,3,2,14235,39,856,171
2020 - 2022,11,2022,2020,0,0,0,13514,38,-721,0
2012 - 2014,13,2014,2012,20,8,12,110042,292,3160,158
2014 - 2016,13,2016,2014,10,5,5,111976,304,1934,193
2016 - 2018,13,2018,2016,8,4,4,121600,317,9624,1203
2018 - 2020,13,2020,2018,15,7,8,138735,329,17135,1142
2020 - 2022,13,2022,2020,25,14,11,138812,323,77,3
2012 - 2014,15,2014,2012,7,5,2,104441,172,615,87
2014 - 2016,15,2016,2014,8,7,1,117906,181,13465,1683
2016 - 2018,15,2018,2016,3,2,1,123608,189,5702,1900
2018 - 2020,15,2020,2018,12,9,3,144862,201,21254,1771
2020 - 2022,15,2022,2020,5,2,3,149091,204,4229,845
2012 - 2014,17,2014,2012,0,0,0,10274,39,-63,0
2014 - 2016,17,2016,2014,0,0,0,10794,39,520,0
2016 - 2018,17,2018,2016,0,0,0,10343,39,-451,0
2018 - 2020,17,2020,2018,1,1,0,11016,38,673,673
2020 - 2022,17,2022,2020,0,0,0,10345,37,-671,0
2012 - 2014,19,2014,2012,20,9,11,252881,399,9030,451
2014 - 2016,19,2016,2014,15,6,9,277036,415,24155,1610
2016 - 2018,19,2018,2016,17,5,12,275909,430,-1127,66
2018 - 2020,19,2020,2018,27,15,12,311565,444,35656,1320
2020 - 2022,19,2022,2020,10,6,4,264022,441,-47543,4754
2012 - 2014,21,2014,2012,0,0,0,30707,142,-853,0
2014 - 2016,21,2016,2014,15,7,8,32085,143,1378,91
2016 - 2018,21,2018,2016,0,0,0,31735,144,-350,0
2018 - 2020,21,2020,2018,7,4,3,35218,145,3483,497
2020 - 2022,21,2022,2020,5,2,3,33504,143,-1714,342
