localityid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0020324d-9ca5-4789-9c5a-a42d0f8bda6b,CENTRAL HIGH SCHOOL,34.754,-80.357,SC,2020,2018 - 2020,0101000020E6100000022B8716D91654C08D976E1283604140,added
0020324d-9ca5-4789-9c5a-a42d0f8bda6b,CENTRAL HIGH SCHOOL,34.754,-80.357,SC,2022,2020 - 2022,0101000020E6100000022B8716D91654C08D976E1283604140,no_change
0021b2cc-def3-464f-8473-acc287fb3ab6,GRASSY POND FIRE DEPT.,35.138,-81.667,SC,2014,2012 - 2014,0101000020E6100000A69BC420B06A54C08B6CE7FBA9914140,no_change
0021b2cc-def3-464f-8473-acc287fb3ab6,GRASSY POND FIRE DEPT.,35.138,-81.667,SC,2016,2014 - 2016,0101000020E6100000A69BC420B06A54C08B6CE7FBA9914140,removed
00400a38-324d-405c-9c39-67f3f505b379,BELTLINE CENTER ACT. BUILDING,35.089,-81.657,SC,2014,2012 - 2014,0101000020E6100000355EBA490C6A54C008AC1C5A648B4140,no_change
00400a38-324d-405c-9c39-67f3f505b379,BELTLINE CENTER ACT. BUILDING,35.089,-81.657,SC,2016,2014 - 2016,0101000020E6100000355EBA490C6A54C008AC1C5A648B4140,no_change
00400a38-324d-405c-9c39-67f3f505b379,BELTLINE CENTER ACT. BUILDING,35.089,-81.657,SC,2018,2016 - 2018,0101000020E6100000355EBA490C6A54C008AC1C5A648B4140,no_change
00400a38-324d-405c-9c39-67f3f505b379,BELTLINE CENTER ACT. BUILDING,35.089,-81.657,SC,2020,2018 - 2020,0101000020E6100000355EBA490C6A54C008AC1C5A648B4140,no_change
00400a38-324d-405c-9c39-67f3f505b379,BELTLINE CENTER ACT. BUILDING,35.089,-81.657,SC,2022,2020 - 2022,0101000020E6100000355EBA490C6A54C008AC1C5A648B4140,no_change
00537f7f-7383-4c0d-8b6e-5149c2e80c90,HILTON HEAD LIBRARY,32.219,-80.714,SC,2014,2012 - 2014,0101000020E610000004560E2DB22D54C079E92631081C4040,no_change
