localityid,geoid,name,x,y,stfp,cntyfp,tractfp
0020324d-9ca5-4789-9c5a-a42d0f8bda6b,1400000US45025950102,"Census Tract 9501.02, Chesterfield County, South Carolina",-80.357,34.754,45,025,45025950102
0021b2cc-def3-464f-8473-acc287fb3ab6,1400000US45021970202,"Census Tract 9702.02, Cherokee County, South Carolina",-81.667,35.138,45,021,45021970202
00400a38-324d-405c-9c39-67f3f505b379,1400000US45021970301,"Census Tract 9703.01, Cherokee County, South Carolina",-81.657,35.089,45,021,45021970301
00537f7f-7383-4c0d-8b6e-5149c2e80c90,1400000US45013010700,"Census Tract 107, Beaufort County, South Carolina",-80.714,32.219,45,013,45013010700
005582a9-b382-4f45-88c9-3ca54438eba1,1400000US45063020703,"Census Tract 207.03, Lexington County, South Carolina",-81.145,33.934,45,063,45063020703
00dd9438-f15d-42c9-8622-cfa109d21c80,1400000US45085001704,"Census Tract 17.04, Sumter County, South Carolina",-80.392,33.898,45,085,45085001704
00f06183-0828-4839-af27-ade6cc8181de,1400000US45081960201,"Census Tract 9602.01, Saluda County, South Carolina",-81.852,33.995,45,081,45081960201
00f8f4fe-393b-429e-b5db-92c0904f7239,1400000US45091061900,"Census Tract 619, York County, South Carolina",-81.345,34.957,45,091,45091061900
00fc6d8c-841f-48f7-8c97-f81bc3af86c0,1400000US45063020506,"Census Tract 205.06, Lexington County, South Carolina",-81.155,34.030,45,063,45063020506
0113d055-d0aa-44ce-abe3-2535c436c3ab,1400000US45069960100,"Census Tract 9601, Marlboro County, South Carolina",-79.836,34.717,45,069,45069960100
0120d307-bddd-4c28-b99b-3c356ab7b843,1400000US45057010800,"Census Tract 108, Lancaster County, South Carolina",-80.776,34.728,45,057,45057010800
019cda6d-49d0-4622-8c96-3f4d7b253654,1400000US45021970602,"Census Tract 9706.02, Cherokee County, South Carolina",-81.632,35.002,45,021,45021970602
01bb23ee-1f79-4ee7-9c0f-668650c779b8,1400000US45055970402,"Census Tract 9704.02, Kershaw County, South Carolina",-80.695,34.228,45,055,45055970402
01cefb55-64b7-4b6a-bfa0-e7e2b7efb84f,1400000US45021970700,"Census Tract 9707, Cherokee County, South Carolina",-81.749,34.982,45,021,45021970700
01ed087f-f2f1-4347-9aa1-24267fa3ea2f,1400000US45031010400,"Census Tract 104, Darlington County, South Carolina",-80.097,34.341,45,031,45031010400
02108a3c-8858-428a-9884-c12caf272c6b,1400000US45003020400,"Census Tract 204, Aiken County, South Carolina",-81.843,33.534,45,003,45003020400
02108a3c-8858-428a-9884-c12caf272c6b,1400000US45003020401,"Census Tract 204.01, Aiken County, South Carolina",-81.843,33.534,45,003,45003020401
021ad123-c04e-44e0-87e9-6bfdaa09c29d,1400000US45035010603,"Census Tract 106.03, Dorchester County, South Carolina",-80.241,33.033,45,035,45035010603
0223af85-5b6a-448b-874e-bab6cbd3660c,1400000US45041002600,"Census Tract 26, Florence County, South Carolina",-79.952,34.130,45,041,45041002600
023911c5-69da-46ac-8620-ea2342207d0f,1400000US45007011300,"Census Tract 113, Anderson County, South Carolina",-82.550,34.514,45,007,45007011300
023911c5-69da-46ac-8620-ea2342207d0f,1400000US45007011302,"Census Tract 113.02, Anderson County, South Carolina",-82.550,34.514,45,007,45007011302
023f71c2-8ad1-4c95-a4e6-879566c5cce5,1400000US45015020600,"Census Tract 206, Berkeley County, South Carolina",-79.965,33.090,45,015,45015020600
023f71c2-8ad1-4c95-a4e6-879566c5cce5,1400000US45015020602,"Census Tract 206.02, Berkeley County, South Carolina",-79.965,33.090,45,015,45015020602
024df9ef-17c3-4efa-bfdd-67726cf55599,1400000US45013002107,"Census Tract 21.07, Beaufort County, South Carolina",-80.867,32.246,45,013,45013002107
0268afbf-f0ca-4b60-b9fe-7403333e0849,1400000US45067950100,"Census Tract 9501, Marion County, South Carolina",-79.470,34.177,45,067,45067950100
0269071d-1839-446a-8eb7-b731aded9f5d,1400000US45013002107,"Census Tract 21.07, Beaufort County, South Carolina",-80.857,32.241,45,013,45013002107
0269ddd8-eeb9-44c6-ae48-1cb317fc781c,1400000US45043920502,"Census Tract 9205.02, Georgetown County, South Carolina",-79.061,33.555,45,043,45043920502
026dfebf-3be2-4288-81dd-976e626c4555,1400000US45041001400,"Census Tract 14, Florence County, South Carolina",-79.792,34.153,45,041,45041001400
0295c2d2-8467-4647-b295-0e3fa90c5b91,1400000US45019002006,"Census Tract 20.06, Charleston County, South Carolina",-79.930,32.738,45,019,45019002006
029b6a8a-e027-4485-bc2b-83d3be336d6f,1400000US45085000400,"Census Tract 4, Sumter County, South Carolina",-80.402,34.016,45,085,45085000400
029b6a8a-e027-4485-bc2b-83d3be336d6f,1400000US45085000401,"Census Tract 4.01, Sumter County, South Carolina",-80.402,34.016,45,085,45085000401
02b6f531-5f0f-4de5-9b88-e98aa32033a8,1400000US45075011100,"Census Tract 111, Orangeburg County, South Carolina",-80.830,33.545,45,075,45075011100
02ca75fe-d15f-4f03-b0d5-e093ef45659a,1400000US45019002103,"Census Tract 21.03, Charleston County, South Carolina",-80.150,32.611,45,019,45019002103
02f10523-4c8f-432b-8603-f0377a6cb2c2,1400000US45015020903,"Census Tract 209.03, Berkeley County, South Carolina",-80.020,32.919,45,015,45015020903
0314d2ab-0289-4153-88e4-a89398ccd5df,1400000US45079000600,"Census Tract 6, Richland County, South Carolina",-81.047,34.023,45,079,45079000600
0349745d-4fc0-4fcc-92fe-c71a5e8be53f,1400000US45063020505,"Census Tract 205.05, Lexington County, South Carolina",-81.075,33.993,45,063,45063020505
