baseyear,changeyear,stfp,cntyfp,tractfp,geoid,changenopolls,nopollsadded,nopollsremoved,pctblack,pctwhite,pcthispanic,baseyearpopulationdensity,lastgeyearpollinglocstotal,baseyearpollinglocstotal
2018,2016 - 2018,13,13001,13001950100,13001950100,1,1,0,0.033,0.967,,24,2,3
2020,2018 - 2020,13,13001,13001950100,13001950100,1,0,1,0.05,0.893,,26,3,2
2022,2020 - 2022,13,13001,13001950100,13001950100,2,1,1,0.037,0.918,,27,2,2
2018,2016 - 2018,13,13001,13001950200,13001950200,0,0,0,0.414,0.538,,71,3,3
2022,2020 - 2022,13,13001,13001950202,13001950202,2,0,2,0.513,0.415,,123,3,1
2018,2016 - 2018,13,13001,13001950300,13001950300,0,0,0,0.146,0.727,,202,2,2
2022,2020 - 2022,13,13001,13001950301,13001950301,0,0,0,0.102,0.744,,270,2,2
2022,2020 - 2022,13,13001,13001950302,13001950302,1,1,0,0.093,0.849,,95,0,1
2018,2016 - 2018,13,13001,13001950400,13001950400,1,1,0,0.251,0.729,,11,0,1
2020,2018 - 2020,13,13001,13001950400,13001950400,1,0,1,0.191,0.769,,13,1,0
2018,2016 - 2018,13,13001,13001950500,13001950500,3,2,1,0.064,0.909,,27,2,3
2020,2018 - 2020,13,13001,13001950500,13001950500,3,1,2,0.177,0.757,,26,3,2
2022,2020 - 2022,13,13001,13001950500,13001950500,0,0,0,0.176,0.738,,26,2,2
2018,2016 - 2018,13,13003,13003960100,13003960100,0,0,0,0.199,0.682,,21,1,1
2020,2018 - 2020,13,13003,13003960100,13003960100,0,0,0,0.132,0.751,,24,1,1
2022,2020 - 2022,13,13003,13003960100,13003960100,0,0,0,0.124,0.811,,22,1,1
2018,2016 - 2018,13,13003,13003960200,13003960200,0,0,0,0.228,0.666,,30,2,2
2020,2018 - 2020,13,13003,13003960200,13003960200,0,0,0,0.216,0.614,,29,2,2
2022,2020 - 2022,13,13003,13003960200,13003960200,0,0,0,0.223,0.574,,30,2,2
2018,2016 - 2018,13,13003,13003960300,13003960300,0,0,0,0.012,0.941,,18,1,1
2020,2018 - 2020,13,13003,13003960300,13003960300,0,0,0,0.012,0.914,,16,1,1
2022,2020 - 2022,13,13003,13003960300,13003960300,0,0,0,0.021,0.883,,16,1,1
2018,2016 - 2018,13,13005,13005970100,13005970100,1,1,0,0.021,0.967,,20,0,1
2020,2018 - 2020,13,13005,13005970100,13005970100,1,0,1,0.007,0.98,,20,1,0
2018,2016 - 2018,13,13005,13005970201,13005970201,1,1,0,0.193,0.741,,67,1,2
2020,2018 - 2020,13,13005,13005970201,13005970201,1,0,1,0.229,0.71,,66,2,1
2022,2020 - 2022,13,13005,13005970201,13005970201,0,0,0,0.195,0.693,,67,1,1
2018,2016 - 2018,13,13005,13005970202,13005970202,2,2,0,0.204,0.766,,54,0,2
2020,2018 - 2020,13,13005,13005970202,13005970202,2,0,2,0.208,0.755,,54,2,0
2018,2016 - 2018,13,13007,13007960100,13007960100,3,1,2,0.458,0.484,,11,2,1
2020,2018 - 2020,13,13007,13007960100,13007960100,0,0,0,0.426,0.492,,11,1,1
2022,2020 - 2022,13,13007,13007960100,13007960100,5,4,1,0.471,0.452,,11,1,4
2018,2016 - 2018,13,13007,13007960200,13007960200,3,0,3,0.271,0.706,,7,3,0
2022,2020 - 2022,13,13007,13007960200,13007960200,3,3,0,0.239,0.62,,6,0,3
2018,2016 - 2018,13,13009,13009970100,13009970100,0,0,0,0.354,0.598,,71,1,1
2022,2020 - 2022,13,13009,13009970102,13009970102,0,0,0,0.361,0.616,,89,1,1
2018,2016 - 2018,13,13009,13009970200,13009970200,0,0,0,0.396,0.589,,603,2,2
2022,2020 - 2022,13,13009,13009970201,13009970201,0,0,0,0.369,0.503,,563,1,1
2022,2020 - 2022,13,13009,13009970202,13009970202,0,0,0,0.291,0.67,,637,1,1
2018,2016 - 2018,13,13009,13009970300,13009970300,0,0,0,0.396,0.5,,291,2,2
2022,2020 - 2022,13,13009,13009970301,13009970301,0,0,0,0.323,0.65,,248,1,1
2022,2020 - 2022,13,13009,13009970302,13009970302,0,0,0,0.395,0.559,,297,1,1
2018,2016 - 2018,13,13009,13009970400,13009970400,0,0,0,0.472,0.497,,1770,2,2
2020,2018 - 2020,13,13009,13009970400,13009970400,0,0,0,0.518,0.473,,1743,2,2
2022,2020 - 2022,13,13009,13009970400,13009970400,1,1,0,0.465,0.503,,1509,2,3
2018,2016 - 2018,13,13009,13009970500,13009970500,0,0,0,0.281,0.675,,118,2,2
2022,2020 - 2022,13,13009,13009970502,13009970502,0,0,0,0.42,0.559,,52,2,2
2018,2016 - 2018,13,13009,13009970600,13009970600,0,0,0,0.621,0.344,,657,1,1
2020,2018 - 2020,13,13009,13009970600,13009970600,0,0,0,0.581,0.375,,579,1,1
2022,2020 - 2022,13,13009,13009970600,13009970600,0,0,0,0.655,0.293,,674,1,1
2018,2016 - 2018,13,13009,13009970701,13009970701,0,0,0,0.529,0.441,,1397,2,2
2020,2018 - 2020,13,13009,13009970701,13009970701,0,0,0,0.532,0.417,,1093,2,2
2022,2020 - 2022,13,13009,13009970701,13009970701,0,0,0,0.586,0.332,,1096,2,2
2018,2016 - 2018,13,13009,13009970800,13009970800,0,0,0,0.414,0.575,,93,2,2
2022,2020 - 2022,13,13009,13009970801,13009970801,0,0,0,0.268,0.668,,77,1,1
2022,2020 - 2022,13,13009,13009970802,13009970802,0,0,0,0.342,0.602,,130,1,1
2018,2016 - 2018,13,13011,13011970100,13011970100,2,2,0,0.008,0.959,,86,2,4
2020,2018 - 2020,13,13011,13011970100,13011970100,0,0,0,0,0.905,,84,4,4
2022,2020 - 2022,13,13011,13011970100,13011970100,4,0,4,0,0.875,,80,4,0
2018,2016 - 2018,13,13011,13011970200,13011970200,2,2,0,0.028,0.919,,63,2,4
2020,2018 - 2020,13,13011,13011970200,13011970200,0,0,0,0.02,0.934,,65,4,4
2022,2020 - 2022,13,13011,13011970200,13011970200,6,2,4,0.025,0.925,,61,4,2
2018,2016 - 2018,13,13011,13011970300,13011970300,4,3,1,0.063,0.9,,102,1,3
2020,2018 - 2020,13,13011,13011970300,13011970300,2,1,1,0.05,0.894,,108,3,3
2022,2020 - 2022,13,13011,13011970300,13011970300,3,0,3,0.048,0.9,,100,3,0
2018,2016 - 2018,13,13011,13011970400,13011970400,1,1,0,0.01,0.938,,76,1,2
2020,2018 - 2020,13,13011,13011970400,13011970400,0,0,0,0.017,0.913,,78,2,2
2022,2020 - 2022,13,13011,13011970400,13011970400,2,0,2,0.037,0.881,,80,2,0
2018,2016 - 2018,13,13013,13013180103,13013180103,0,0,0,0.07,0.846,,459,1,1
2020,2018 - 2020,13,13013,13013180103,13013180103,0,0,0,0.105,0.776,,493,1,1
2022,2020 - 2022,13,13013,13013180103,13013180103,0,0,0,0.14,0.728,,519,1,1
2018,2016 - 2018,13,13013,13013180105,13013180105,1,1,0,0.034,0.823,,442,0,1
2020,2018 - 2020,13,13013,13013180105,13013180105,0,0,0,0.029,0.803,,482,1,1
2022,2020 - 2022,13,13013,13013180105,13013180105,1,0,1,0.015,0.769,,444,1,0
2018,2016 - 2018,13,13013,13013180106,13013180106,1,0,1,0.138,0.829,,563,1,0
2022,2020 - 2022,13,13013,13013180106,13013180106,1,1,0,0.11,0.662,,560,0,1
2018,2016 - 2018,13,13013,13013180107,13013180107,1,1,0,0.013,0.835,,548,0,1
2020,2018 - 2020,13,13013,13013180107,13013180107,0,0,0,0.008,0.807,,599,1,1
2022,2020 - 2022,13,13013,13013180107,13013180107,1,0,1,0.019,0.807,,567,1,0
2018,2016 - 2018,13,13013,13013180108,13013180108,2,1,1,0.094,0.848,,369,1,1
2020,2018 - 2020,13,13013,13013180108,13013180108,0,0,0,0.058,0.884,,366,1,1
2022,2020 - 2022,13,13013,13013180108,13013180108,2,1,1,0.06,0.83,,373,1,1
2022,2020 - 2022,13,13013,13013180203,13013180203,1,1,0,0.268,0.391,,1678,0,1
2018,2016 - 2018,13,13013,13013180204,13013180204,1,1,0,0.366,0.533,,504,1,2
2020,2018 - 2020,13,13013,13013180204,13013180204,0,0,0,0.296,0.543,,550,2,2
2022,2020 - 2022,13,13013,13013180204,13013180204,1,0,1,0.364,0.516,,556,2,1
2018,2016 - 2018,13,13013,13013180205,13013180205,1,1,0,0.204,0.67,,1047,0,1
2020,2018 - 2020,13,13013,13013180205,13013180205,0,0,0,0.173,0.705,,1115,1,1
2022,2020 - 2022,13,13013,13013180205,13013180205,1,0,1,0.18,0.691,,1193,1,0
2018,2016 - 2018,13,13013,13013180206,13013180206,1,1,0,0.01,0.899,,1076,0,1
2020,2018 - 2020,13,13013,13013180206,13013180206,0,0,0,0.069,0.837,,1221,1,1
2022,2020 - 2022,13,13013,13013180206,13013180206,1,0,1,0.047,0.857,,1237,1,0
2018,2016 - 2018,13,13013,13013180302,13013180302,1,1,0,0.059,0.89,,511,1,2
2020,2018 - 2020,13,13013,13013180302,13013180302,0,0,0,0.098,0.831,,484,2,2
2022,2020 - 2022,13,13013,13013180302,13013180302,1,0,1,0.097,0.799,,505,2,1
2018,2016 - 2018,13,13013,13013180402,13013180402,1,1,0,0.202,0.679,,421,1,2
2020,2018 - 2020,13,13013,13013180402,13013180402,0,0,0,0.152,0.673,,420,2,2
2022,2020 - 2022,13,13013,13013180402,13013180402,1,0,1,0.145,0.758,,393,2,1
2018,2016 - 2018,13,13013,13013180501,13013180501,2,2,0,0.102,0.8,,612,0,2
2020,2018 - 2020,13,13013,13013180501,13013180501,0,0,0,0.121,0.738,,779,2,2
2022,2020 - 2022,13,13013,13013180501,13013180501,3,1,2,0.202,0.647,,766,2,1
2018,2016 - 2018,13,13013,13013180502,13013180502,0,0,0,0.097,0.821,,267,2,2
2020,2018 - 2020,13,13013,13013180502,13013180502,0,0,0,0.181,0.71,,280,2,2
2022,2020 - 2022,13,13013,13013180502,13013180502,3,1,2,0.123,0.784,,280,2,1
2018,2016 - 2018,13,13015,13015960101,13015960101,0,0,0,0.009,0.914,,38,1,1
2020,2018 - 2020,13,13015,13015960101,13015960101,0,0,0,0.015,0.892,,45,1,1
2022,2020 - 2022,13,13015,13015960101,13015960101,0,0,0,0.015,0.882,,46,1,1
2018,2016 - 2018,13,13015,13015960102,13015960102,0,0,0,0.02,0.946,,115,1,1
2022,2020 - 2022,13,13015,13015960104,13015960104,0,0,0,0.012,0.932,,69,1,1
2018,2016 - 2018,13,13015,13015960200,13015960200,0,0,0,0.07,0.905,,167,2,2
2022,2020 - 2022,13,13015,13015960201,13015960201,0,0,0,0.157,0.808,,94,2,2
2018,2016 - 2018,13,13015,13015960300,13015960300,1,1,0,0.048,0.923,,104,2,3
