pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E610000077BE9F1A2F1556C039B4C876BE3F4540,VILLAGE HALL,42.498,-88.331,WI,2014,2012 - 2014,0101000020E610000077BE9F1A2F1556C039B4C876BE3F4540,no_change
0101000020E6100000CFF753E3A54356C0C74B378941404540,GASTON ELEMENTARY SCHOOL,42.502,-89.057,WI,2014,2012 - 2014,0101000020E6100000CFF753E3A54356C0C74B378941404540,no_change
0101000020E61000007B14AE47E14256C0C74B378941404540,2012 HACKETT SCHOOL,42.502,-89.045,WI,2014,2012 - 2014,0101000020E61000007B14AE47E14256C0C74B378941404540,no_change
0101000020E61000006F1283C0CA4156C0C74B378941404540,2012 FIRST CONGREGATIONAL CHURCH,42.502,-89.028,WI,2014,2012 - 2014,0101000020E61000006F1283C0CA4156C0C74B378941404540,no_change
0101000020E61000001F85EB51B82E56C0AAF1D24D62404540,VILLAGE HALL,42.503,-88.730,WI,2014,2012 - 2014,0101000020E61000001F85EB51B82E56C0AAF1D24D62404540,no_change
0101000020E610000025068195434356C037894160E5404540,BELOIT HISTORICAL SOCIETY,42.507,-89.051,WI,2014,2012 - 2014,0101000020E610000025068195434356C037894160E5404540,no_change
0101000020E61000001B2FDD24064156C037894160E5404540,TODD ELEMENTARY SCHOOL,42.507,-89.016,WI,2014,2012 - 2014,0101000020E61000001B2FDD24064156C037894160E5404540,no_change
0101000020E6100000273108AC1C0256C0C520B07268414540,HOLY CROSS CHURCH,42.511,-88.033,WI,2014,2012 - 2014,0101000020E6100000273108AC1C0256C0C520B07268414540,no_change
0101000020E610000025068195430B56C0A8C64B3789414540,WILMOT FIRE STATION,42.512,-88.176,WI,2014,2012 - 2014,0101000020E610000025068195430B56C0A8C64B3789414540,no_change
0101000020E6100000F4FDD478E91E56C08B6CE7FBA9414540,LINN TOWN HALL,42.513,-88.483,WI,2014,2012 - 2014,0101000020E6100000F4FDD478E91E56C08B6CE7FBA9414540,no_change
0101000020E610000048E17A14AE3F56C0FCA9F1D24D424540,2012 CENTRAL CHRISTIAN CHURCH,42.518,-88.995,WI,2014,2012 - 2014,0101000020E610000048E17A14AE3F56C0FCA9F1D24D424540,no_change
0101000020E6100000448B6CE7FB4156C0DF4F8D976E424540,BELOIT PUBLIC LIBRARY,42.519,-89.031,WI,2014,2012 - 2014,0101000020E6100000448B6CE7FB4156C0DF4F8D976E424540,no_change
0101000020E61000008716D9CEF74356C0C3F5285C8F424540,CONVERSE ELEMENTARY SCHOOL,42.520,-89.062,WI,2014,2012 - 2014,0101000020E61000008716D9CEF74356C0C3F5285C8F424540,no_change
0101000020E6100000D7A3703D0AF755C0A69BC420B0424540,WARDS 4-5 GOOD SHEPHERD LUTHERAN CHURCH 2012,42.521,-87.860,WI,2014,2012 - 2014,0101000020E6100000D7A3703D0AF755C0A69BC420B0424540,no_change
0101000020E610000000000000009056C0894160E5D0424540,WHITE OAK SPRINGS TOWN HALL,42.522,-90.250,WI,2014,2012 - 2014,0101000020E610000000000000009056C0894160E5D0424540,no_change
0101000020E61000003BDF4F8D97F655C0FA7E6ABC74434540,WARDS 1-3 VILLAGE HALL 2012,42.527,-87.853,WI,2014,2012 - 2014,0101000020E61000003BDF4F8D97F655C0FA7E6ABC74434540,no_change
