localityid,geoid,name,x,y,stfp,cntyfp,tractfp
00280017-03a2-4094-91f0-2ff5dc5cc8fa,1400000US55001950501,"Census Tract 9505.01, Adams County, Wisconsin",-89.939,43.877,55,001,55001950501
007d70f0-7b21-4268-a487-40286d202e63,1400000US55025010800,"Census Tract 108, Dane County, Wisconsin",-89.500,43.010,55,025,55025010800
007d70f0-7b21-4268-a487-40286d202e63,1400000US55025010801,"Census Tract 108.01, Dane County, Wisconsin",-89.500,43.010,55,025,55025010801
0087a3e6-7026-426d-a242-c5f45d2e287b,1400000US55009021500,"Census Tract 215, Brown County, Wisconsin",-88.093,44.270,55,009,55009021500
009b0c48-71eb-49fc-bdc7-816b9578c6e8,1400000US55137960300,"Census Tract 9603, Waushara County, Wisconsin",-89.493,44.213,55,137,55137960300
00af78a1-aa47-4d51-8710-8a71bcc3be10,1400000US55119960300,"Census Tract 9603, Taylor County, Wisconsin",-90.866,45.163,55,119,55119960300
0107ef38-f537-4705-b7f3-763d94d146b5,1400000US55021970900,"Census Tract 9709, Columbia County, Wisconsin",-89.380,43.339,55,021,55021970900
010e0d49-6202-44d9-9cde-388a29c818b7,1400000US55141010200,"Census Tract 102, Wood County, Wisconsin",-90.100,44.649,55,141,55141010200
01202bed-de39-4186-892c-7ca25c1c28f3,1400000US55027961600,"Census Tract 9616, Dodge County, Wisconsin",-88.570,43.334,55,027,55027961600
0132b74e-20dc-40b5-840a-9097761357ed,1400000US55009001400,"Census Tract 14, Brown County, Wisconsin",-87.998,44.504,55,009,55009001400
01334144-2bfd-458f-9656-7ffb81afbccc,1400000US55079003800,"Census Tract 38, Milwaukee County, Wisconsin",-87.968,43.084,55,079,55079003800
01407a9d-511f-4825-97ed-a3769d0578aa,1400000US55075961400,"Census Tract 9614, Marinette County, Wisconsin",-87.628,45.070,55,075,55075961400
014128b5-d186-4e49-a513-3c382e9d6ef8,1400000US55085970400,"Census Tract 9704, Oneida County, Wisconsin",-89.333,45.601,55,085,55085970400
01642797-ccea-4e95-8cfd-2310cce70caf,1400000US55109120700,"Census Tract 1207, St. Croix County, Wisconsin",-92.175,45.059,55,109,55109120700
01654e68-0abf-4f5c-9f52-6808d83e3912,1400000US55133201101,"Census Tract 2011.01, Waukesha County, Wisconsin",-88.122,43.057,55,133,55133201101
