pollId,name,Y,X,stfp
0101000020E6100000022B8716D91E56C03BDF4F8D97FE4040,2 AMORY SECOND,33.989,-88.482,28
0101000020E6100000022B8716D91E56C03BDF4F8D97FE4040,OLD NATIONAL GUARD ARMORY,33.989,-88.482,28
0101000020E6100000022B8716D98656C0FCA9F1D24D424040,ST JOE CATHOLIC,32.518,-90.107,28
0101000020E6100000022B8716D98656C0FCA9F1D24D424040,GLUCKSTADT @ ST JOE CATHOLIC,32.518,-90.107,28
0101000020E6100000022B8716D9DE56C02FDD240681654640,TRINITY LUTHERAN CHURCH-2013,44.793,-91.482,55
0101000020E6100000022B8716D9DE56C02FDD240681654640,TRINITY LUTHERAN CHURCH,44.793,-91.482,55
0101000020E610000004560E2DB21D55C06ABC749318044140,TIM D. LEE SENIOR CENTER-PP01,34.032,-84.464,13
0101000020E610000004560E2DB21D55C06ABC749318044140,THE ART PLACE-PP01,34.032,-84.464,13
0101000020E610000004560E2DB24556C0F4FDD478E9663E40,GOOD DEEDS COMMUNITY CENTER,30.402,-89.089,28
0101000020E610000004560E2DB24556C0F4FDD478E9663E40,GOOD DEEDS COMMUNITY,30.402,-89.089,28
0101000020E610000004560E2DB26D56C004560E2DB25D4040,OFAHOMA,32.732,-89.714,28
0101000020E610000004560E2DB26D56C004560E2DB25D4040,OFAHOMA FIRE DEPARTMENT,32.732,-89.714,28
0101000020E6100000068195438B0C57C08716D9CEF7534740,VILLAGE HALL,46.656,-92.196,55
0101000020E6100000068195438B0C57C08716D9CEF7534740,OLIVER VILLAGE HALL,46.656,-92.196,55
0101000020E6100000068195438B9C56C0AE47E17A148E3F40,OLD BROOK,31.555,-90.446,28
0101000020E6100000068195438B9C56C0AE47E17A148E3F40,BROOKHAVEN EQUIPMENT BUILDING,31.555,-90.446,28
0101000020E610000008AC1C5A640356C06891ED7C3F854540,UNDERWOOD SCHOOL,43.041,-88.053,55
0101000020E610000008AC1C5A640356C06891ED7C3F854540,UNDERWOOD ELEMENTARY SCHOOL,43.041,-88.053,55
0101000020E610000008AC1C5A645356C008AC1C5A648B4540,NEW BEGINNINGS CHURCH,43.089,-89.303,55
0101000020E610000008AC1C5A645356C008AC1C5A648B4540,NEW BEGINNINGS ALLIANCE CHURCH,43.089,-89.303,55
0101000020E610000008AC1C5A645356C06ABC749318643F40,GLENDALE,31.391,-89.303,28
0101000020E610000008AC1C5A645356C06ABC749318643F40,GLENDALE COMMUNITY CENTER,31.391,-89.303,28
0101000020E61000000AD7A3703D2256C0FCA9F1D24D324140,RATLIFF,34.393,-88.535,28
